"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0034470","GO:0034470","ncRNA processing","418/14183","439/18870",4.17304028602028e-30,2.65947857428073e-26,1.43508659099245e-26,"55636/65123/2091/4086/131405/64172/23405/7157/26523/192669/5591/1654/3181/5394/6232/7247/9221/9631/9875/10438/10521/10813/23212/23560/29102/29777/50628/51504/55505/55720/79042/80324/81605/92856/192670/389421/285381/81627/8780/10200/27304/54974/83732/84267/112970/163859/6208/51118/51490/203522/3735/27042/51637/57602/1655/27161/4087/6774/6155/6209/9698/23223/23481/54663/79693/84705/90459/114034/285855/317781/3692/9724/54487/652/79707/79753/118460/64852/81556/114049/2926/4204/6125/8846/23369/25926/27340/51119/54680/55813/138716/6165/6229/51602/55178/84365/3569/9775/9790/6741/3669/11180/55781/80789/115708/6041/4931/6230/8850/10412/10885/22894/22916/23424/25879/25940/25983/27292/27341/51593/55623/64216/79074/84549/123263/134430/143689/340120/25917/1653/23536/29066/23264/63899/113179/144233/56339/56931/79828/54920/284615/64282/16/207/6428/8886/136991/103/4088/5073/10269/10785/51018/51574/51202/130916/1736/55759/84294/87178/127253/51605/134637/441250/7015/9188/11157/23076/23378/23404/26512/28987/51154/51441/54482/54606/54931/55226/55596/57508/64118/65083/92105/92345/112479/150962/120379/2068/4234/9836/51106/54913/55006/29063/91893/54059/6135/79691/10436/84520/6301/4686/4839/9136/10799/11062/23160/26156/51095/51547/51729/54517/55140/55174/55250/55646/10556/51093/51575/55299/55511/54512/56915/80745/84944/112858/85395/153443/339487/404672/6223/23318/79670/5036/10775/22803/25896/26024/55035/60487/93587/5393/55651/56986/1787/11103/51091/54802/57570/80135/91801/158234/6154/92342/11224/4809/11056/196074/113000/7257/84128/84881/10248/10557/10607/10969/55656/79650/79954/55039/23517/57050/6202/5822/6895/11137/11340/54433/55011/29081/84154/705/10199/55798/79979/129450/283742/116461/9271/51096/81890/126789/55726/10528/11102/90121/154197/51010/8575/55152/55756/9092/10667/54853/84872/122402/201164/55687/9326/9692/6894/7040/1662/2483/3028/6201/6839/9045/10171/10360/10940/10978/22984/23029/24140/26995/27037/51002/51077/51367/51654/54555/54888/54901/55272/55695/56342/57109/57418/57647/60528/65080/65095/79050/81887/83480/84135/88745/339175/387338/9277/348180/54859/26173/113802/57117/80746/5303/131870/79863/8737/8270/23016/51013/117246/55520/26610/79033/142940/131965/23587/150763/6217/83707/6227/161424/23246/29960/84916/6218/8518/29997/27043/283120/221078/8568/79727/6234/11022/56165/55127/55661/285605/79039/6194/8602/55621/221400/54514/51493/54456/63892/25821/6130/4736/54522/90353/6129/55164/91646/79066/55124/283989/7737/115939/54973/57604/152992",418
"GO:0001701","GO:0001701","in utero embryonic development","376/14183","392/18870",2.38946564196843e-29,7.61403226813241e-26,4.10862329068993e-26,"1051/115/6722/7763/51176/54880/55636/157506/7048/4627/6670/9782/91/1281/6789/4436/4853/10018/639/7157/10413/7046/2627/102/677/1386/1906/2186/2296/2768/3481/4643/5594/6241/6498/6598/7014/7320/9113/9421/9654/25831/25912/25942/51542/54583/55224/57167/57493/57534/84295/92521/154796/201163/9133/5310/6692/79621/320/9412/10155/8178/5930/23019/56006/4836/79728/84081/56957/10087/3091/3976/5469/8314/1603/4087/86/891/1376/1499/3516/4089/4154/5311/7779/9837/10959/53615/54663/57448/80790/81565/144455/285855/8061/81502/4538/54892/3280/321/367/3688/6926/8451/8846/27173/51119/57498/79718/84870/4848/91603/54855/6608/7855/54700/84525/2885/26524/50515/7422/1050/23250/9241/133/650/824/1111/1627/2034/2625/3294/3880/3981/4188/4242/5156/5501/5723/6615/7026/9318/9464/9632/10365/10672/23414/23462/27341/28982/50814/51763/53918/55273/56853/57669/60681/64168/79805/91746/201895/1437/79600/284/4695/84072/27077/2294/4487/5423/8841/26259/10443/58495/65110/284723/4435/64711/4624/26128/207/3714/405/1825/4088/6137/8521/9644/9927/22846/57680/4952/85451/4245/79893/4851/7189/648/1999/3726/5335/7477/57142/1956/4124/5604/9314/598/841/3633/4071/4097/4683/4751/7516/23764/55723/57178/57728/57820/79733/113026/123920/2737/79583/728661/2068/5890/29072/9508/398/10436/9871/100/430/2530/5704/5801/6491/9915/10049/11232/729/5727/7291/8648/9546/8320/57718/3491/657/2551/2821/5155/5932/8452/10370/10733/26005/64359/3479/50861/25988/10454/4849/30812/51294/9573/10361/196051/4678/8531/80312/100381270/9021/84296/94/3276/4846/9817/402569/1028/675/1045/705/3586/4863/7262/7274/9646/10400/29985/54475/79977/83605/6830/9541/146923/56949/6768/8894/55172/154197/7075/60482/8985/655/90/2021/2263/2648/2707/5954/6788/7004/8533/54888/60625/129685/374900/338/788/26173/6881/55845/60626/63978/29924/653/8882/51639/538/4838/5045/7784/8312/57662/23038/7703/63925/5460/7043/6663/130399/29947/9394/1046/2623/2624/3856/7484/23493/27022/5745/79798/10653/2016/84871/149473/84660/2116/89780/51493/203286/10161/3549/1909/2709/6928/23081/343263/23322/7942/25949/10566/26469",376
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","428/14183","458/18870",2.63911970821948e-25,5.60636996682758e-22,3.02526459184317e-22,"23291/4193/6451/8667/57761/54620/5685/79845/10299/9655/131405/7126/7184/997/324/8945/1017/10221/116224/329/899/996/2768/3093/4092/4130/5516/5527/5683/5717/6400/6502/6599/6790/7320/7323/7514/7706/8239/8453/8454/8554/9320/10277/10613/10973/11047/11146/22836/23304/23327/25831/25847/25852/26234/26273/29978/29979/51465/54442/55284/55432/55666/56929/57092/57542/80232/80267/80311/84164/84640/89890/122809/197131/200933/254170/387921/10956/10524/23053/1454/5690/5714/7327/25820/10513/26263/51322/26270/146330/8473/5691/27252/8313/550/1452/1499/1642/2729/4780/5693/5701/7415/9529/9928/25937/26224/28951/51105/57162/64795/149603/7341/7844/5689/23008/9112/9575/54467/23411/1649/3304/5887/6815/7326/7337/7917/8451/9097/9695/11160/11315/11337/79018/79089/79718/80176/258010/5094/11059/9978/23510/51009/84861/10116/201595/6923/5707/83892/223082/255488/64682/3303/117584/23321/1050/7428/55294/1453/2295/2932/3326/5663/5706/6872/6907/7321/7334/7874/9867/10905/25853/25879/25897/51035/51439/57630/130507/144165/1047/8405/92305/27248/51343/267/51185/7319/1855/26259/283807/54476/5705/6880/207/51528/23588/857/5601/4189/6047/8924/23197/23429/26043/79139/154214/339745/5719/9491/3309/5371/57003/10296/821/9921/55122/369/55872/9709/10210/51514/5347/5695/5713/5716/5718/7328/8065/9354/9683/9861/10273/11065/23640/27338/27351/51434/51676/54994/56893/64750/79654/80020/84447/118424/137886/9604/9618/6478/10755/6500/23194/23190/9325/2931/79016/283514/6135/55829/10399/5704/55212/114088/120892/122416/9373/84727/5682/10213/57805/7353/3429/8452/9147/10206/23376/25793/25827/26046/30009/51433/54431/55968/79699/84078/165324/6048/5193/11011/83590/5687/5886/92369/131377/285533/90025/143941/7993/64326/23392/10869/253980/55658/29882/4121/7480/991/10475/10952/25906/26272/51283/80196/4669/25898/819/5192/409/23532/26268/6468/8697/10616/5708/9781/9817/83737/55743/406/811/10425/11124/29945/55336/79791/116138/127544/4534/80344/2272/57154/7345/26235/54461/144699/153769/90637/150684/408/6477/8078/5692/10134/1263/6449/7466/10444/11253/22933/26233/26249/55298/80028/90850/115290/119504/2629/51529/6613/3300/57414/8881/196394/4287/91445/80263/51548/51377/5686/5684/55527/64777/79176/81545/90864/130617/81858/5688/29997/64839/8312/554251/84961/51667/65992/26133/57134/5709/55626/56658/1191/1161/6469/84101/90865/122773/3077/93611/91147/10297/26232/84417/116988/344558/11060/126433/23220/5694/5702/5700/10612/55101/285671/55139/222235/5710/79734/10393",428
"GO:0042254","GO:0042254","ribosome biogenesis","312/14183","325/18870",9.40573494997098e-25,1.49856872090413e-21,8.08645686356715e-22,"55636/2091/5591/708/1654/1964/5394/6232/7248/7514/9221/9875/10438/10521/10813/22907/23212/23560/29102/29777/50628/51116/51504/55505/55720/90441/92856/85865/2971/8780/10200/81875/83732/163859/55027/6208/6191/51118/27042/57602/26135/6155/6209/23223/23481/51388/54663/90459/285855/317781/3692/9724/26284/79707/118460/6203/114049/1983/6125/8451/25926/27340/51119/54680/55813/6165/6228/6229/51602/6169/55178/84365/9775/9790/54700/83939/3669/55781/6041/4931/5901/6230/8450/8850/9816/10412/10885/22894/22927/25879/25983/27292/27341/64216/84549/134430/4927/6838/7520/63899/84273/64282/8886/6059/51018/51068/54955/55153/64794/10600/51202/130916/1736/55759/84294/2752/6134/6175/9188/11157/23076/23378/23404/28987/51154/51441/54606/55052/55226/65083/83743/91582/92345/112479/120379/2068/51106/51187/54913/55006/55319/29063/91893/6210/54059/6135/10436/84864/4839/9136/10799/23160/26156/30836/51547/51729/55003/55646/10556/51093/51550/51575/55299/54512/56902/56915/85395/153443/404672/6223/26149/5036/10775/22803/23195/26155/54552/55035/92196/5393/55651/11103/51081/54505/80135/29889/6205/6154/92342/11224/4809/51001/11056/196074/113000/84128/84881/84769/10248/10557/10607/10969/55794/79954/6147/23517/9669/57050/6152/6202/5822/11137/11340/54433/55011/51121/29081/84154/705/10199/10514/54475/79979/166378/51335/51096/51042/26574/10528/22868/90121/51010/9092/26164/54853/64434/9326/401466/1662/2483/3921/6128/6201/6839/9045/10171/10360/22984/23029/51077/51367/54555/55272/55341/55695/56342/57109/57418/57647/65080/65095/79050/81887/84135/88745/140801/387338/9277/4869/5303/131870/79863/23016/51065/51013/117246/79033/84231/84946/128061/6207/6193/6217/6227/161424/23246/29960/84916/6218/220064/29997/27043/8568/6206/6234/55127/55661/79039/6194/8602/115416/6130/4736/79631/51406/6129/64745/55164/79066/79029/6189/115939",312
"GO:0006260","GO:0006260","DNA replication","270/14183","278/18870",2.45963193504631e-24,3.13504686441002e-21,1.69170895406238e-21,"4172/253461/4782/5937/11177/7126/997/7157/890/1017/142/641/2736/4173/4175/4176/4673/4999/5111/5813/5980/5985/6241/6416/7014/7270/7528/9093/9134/10721/23175/23560/25942/29980/51053/54891/55159/57697/63922/64318/64710/64769/81620/84897/90381/253714/1763/27343/5515/6749/5930/163859/86/466/5001/6240/9837/11198/27154/54107/57695/79892/144455/254394/259282/91607/8467/10189/11201/10498/3399/898/546/11073/26057/27000/51455/374393/5429/91603/9126/10036/64061/5981/29935/4774/2735/54617/4781/5557/4784/983/1111/1854/2069/3981/5428/5931/6118/7150/8099/29803/54108/5423/92797/7349/23063/79596/6418/22944/79960/9768/3159/5518/6282/7083/10269/25842/79915/64863/50484/1956/51514/3980/4683/5422/5425/5965/10714/22891/56655/79733/83743/92667/10445/11143/5976/6117/6742/114799/10856/9767/1602/604/672/5427/990/3978/5982/26271/56953/11232/51550/5884/10111/116028/283899/23244/580/4174/5424/5932/5983/5984/8317/8607/10926/55704/125476/246243/7486/25792/5928/1660/4142/54465/339221/10361/378708/4171/5558/4678/5763/63901/150/4998/51659/58525/64785/84296/222229/94/8318/10535/23338/5888/348654/84289/55388/2237/6119/8208/9401/10293/23594/23649/80010/54962/57379/675/5000/7013/11124/11169/23595/25939/57804/84515/545/8412/9984/56897/84083/201973/10919/11284/79075/92675/146956/2658/56652/93973/8914/1025/2021/5442/51426/55218/57418/83444/157570/51377/4796/80169/11277/1877/116447/50485/201254/8882/4361/79991/57662/84464/353497/84893/51507/4798/6419/80119/29844/80174/154288/5426/441161/1950/80198/9400/197342/647309",270
"GO:0022411","GO:0022411","cellular component disassembly","459/14183","497/18870",7.45603476967806e-24,7.91955159785971e-21,4.27348519167337e-21,"6591/8444/22985/27443/3915/3796/317/1073/4609/23405/324/7157/7046/5962/102/382/444/488/801/2043/2935/3064/3297/3480/3643/4035/4130/4131/5048/5499/5562/5563/5579/6598/6599/6602/6712/6720/6790/6840/7443/8289/8408/8729/9798/9821/10075/10193/10973/11096/11331/23175/23399/27183/29767/29904/29979/51542/57466/57551/57701/64802/65082/65094/79065/84164/84340/136319/196528/401548/154/24144/2011/987/10524/6749/9617/3312/22974/51534/55062/57724/63908/285636/8473/146909/3396/4241/340061/57602/25989/5756/3091/3925/118/120/1659/1676/1845/2017/3799/3831/4281/4921/6314/7415/9793/11078/11198/26586/9448/91137/124045/79443/65125/1072/3688/6597/6603/6711/7153/10767/10982/11315/11337/55187/79752/84687/123/11075/57132/9711/54463/4322/3569/4319/7855/58511/126731/6624/4134/4905/4314/4318/54541/4312/55294/23122/983/1515/2059/2932/4316/5290/6456/8878/9037/9349/9525/9682/9829/22911/22943/23064/23271/23332/23401/23770/25978/27341/51652/53918/79929/80279/85477/130271/144165/149371/28985/4778/119/51510/8562/2107/84971/345611/2852/577/50810/57110/6418/8867/5295/7251/3159/5289/6059/9927/9948/10269/51474/344148/11034/1520/10059/23130/162427/3306/4313/51506/54832/81930/2258/79137/10904/23075/581/665/5347/81671/88/822/829/1201/2039/2150/3920/5578/6455/6601/6683/6709/6811/6901/7124/7141/8673/9181/9342/10456/10533/10645/11140/11152/23557/23647/56648/56893/83743/493856/1513/291/1777/1803/5976/7416/8775/9325/55014/2931/79876/65018/2241/55604/128077/11145/89927/55337/93974/101/664/718/3099/7405/10630/11004/22863/51375/64127/10023/55254/79142/256471/55201/57482/92815/1677/712/832/3249/5195/5650/9507/10211/23376/25793/27243/51569/55239/58526/64422/50861/5193/7249/26100/5119/54516/57553/11037/6588/9474/54209/56270/81492/6604/4323/6605/55102/8678/1984/9941/1471/3936/9140/10241/50853/51368/23400/5192/23274/666/139341/256764/57103/830/10133/23710/64601/64780/285590/5828/55486/4528/219402/2314/8751/9706/1639/26235/57231/84749/2934/4317/6721/81631/29082/57159/10783/7040/10043/65991/327/1263/1459/2021/2580/4739/9131/10226/10763/11344/11345/23192/23616/23708/57104/57326/79643/84557/91574/91782/92399/128866/140775/347240/57026/2629/706/143244/9922/292/1939/2264/6376/6457/2191/2801/10882/27429/22828/54543/162989/92421/26993/55192/81858/84305/5045/10677/11213/146057/5644/780/6833/65992/124056/668/7043/80183/130399/55626/10154/713/6708/6710/59341/1511/7177/10297/51024/170689/124602/25876/1991/146206/57731/4943/714/9776/10595/4324/89795/51332/5341/25851/9622/11132/5830/30849/10715/10013/25802/132671/57192/7111/7429/167410/285973/29765",459
"GO:0072594","GO:0072594","establishment of protein localization to organelle","425/14183","459/18870",8.61787062833744e-23,7.8459556449135e-20,4.23377193124487e-20,"1871/3842/4928/30000/22879/9883/754/1026/6789/5743/7157/1994/1386/1408/2316/3320/3838/3841/4000/4074/4137/5018/5194/5562/5599/6720/6726/7175/7323/8021/8239/8766/9530/9631/9972/10075/10527/11231/11331/23163/23534/23636/25782/26985/27183/51028/51100/51271/51542/54741/55705/55764/56478/57506/60559/64089/79158/80273/83752/84313/134266/5189/10073/51307/9512/867/10155/5903/10694/3312/29090/54899/4836/55027/9818/100101267/100287932/55506/57602/1432/5469/8314/6774/3836/3839/4734/4792/6727/7128/9688/9697/10254/10440/10574/10762/23633/25836/29927/53371/57122/7341/6950/10055/652/3837/5580/10628/9868/3843/6734/999/1649/2033/3998/4591/5514/5534/7917/9695/26521/55187/64112/137492/6850/6729/7879/9555/3009/6608/5530/7855/10245/59283/401505/6653/140690/3329/89781/55048/55294/602/950/983/1678/3305/3840/4763/5569/5663/5901/6272/6728/6747/7095/8546/8878/9349/9531/22948/23409/26953/27074/29103/51762/54332/55696/56947/56993/80208/144165/152485/100188893/284/5824/54469/4927/8841/63928/84709/345611/90580/207/10576/5587/5295/7251/1894/3098/4088/5289/9520/9765/9927/23471/26060/51366/54557/79720/9670/130916/4851/908/1434/1736/3309/5371/54832/55122/9709/581/665/3920/3973/7015/8943/10456/11261/23558/23788/27091/55135/55750/58477/92609/118424/129401/2737/54492/29098/3059/10575/11142/26061/22885/2931/79035/59284/84134/65018/84455/283514/10856/93974/3099/3301/3916/4285/9804/10758/22863/93082/120892/27072/5190/10469/55823/868/3621/5195/9648/22930/23230/23435/23480/25793/26520/51569/55176/5193/7249/503542/25913/131474/3786/3587/347/7545/9141/8266/23511/158234/164153/8692/79902/8031/8678/23787/79711/4121/5880/7805/10952/55198/65057/80149/222229/5192/51079/29928/3728/23649/26519/55612/245711/5828/55486/402569/675/3717/5191/3308/6731/7013/7332/10425/10526/51715/58480/93343/131118/57154/8504/55374/84572/90637/728489/439/6721/29082/10134/4580/51684/29969/5296/9146/7040/1459/5898/6449/6730/6788/8027/9131/9409/10452/10890/10953/23203/26515/26517/51025/51172/55275/55929/59286/128866/637/706/90678/26262/84268/55670/6396/51548/9179/10204/10651/11267/27429/23513/25813/25930/51160/10736/54543/130617/133022/196294/617/8882/51501/79568/112869/23355/27113/9679/55746/51194/84315/160140/6262/7203/2254/57554/1191/6469/90865/158866/152877/2646/3002/84220/10369/51024/140823/948/27092/9776/9049/51608/10368/2740/1812/51555/10531/79778/9789/23514/5830/55072/30849/83943/4693/285521/28972",425
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","451/14183","491/18870",4.08830974140751e-22,3.25684974774876e-19,1.75743525331294e-19,"387/55701/5912/5924/9710/4893/5925/57580/10146/1026/1281/1278/23011/29899/7126/4853/1399/4233/7157/890/388/5962/1017/10188/10451/27/382/396/1122/1147/1398/1902/2664/2768/2782/2840/3685/4649/5516/5879/7074/7204/8036/8615/8729/8829/9093/9693/9815/10163/10395/10565/10769/23636/57186/57493/57826/79109/79822/85440/89890/90627/117178/154796/171177/201163/201475/26230/79930/23229/5867/867/9771/9855/5911/93663/8473/376267/1718/3925/392/394/3984/5922/6016/9928/10152/10787/51735/56882/57480/94134/128239/221178/10260/9367/9448/3837/22931/1029/56990/11188/84144/1435/3845/57531/1072/2247/3688/10982/11315/11337/23607/28511/55103/57706/80005/440193/1793/23362/57221/5291/5908/6093/22821/23682/83892/121268/55667/28512/57636/2885/50650/55288/5649/5877/390/2059/3675/4763/5923/6386/7052/8878/9743/9908/10045/10617/10633/10672/23365/23433/23580/26269/27314/55114/57148/64121/79933/85004/116442/220164/4254/9938/29/10235/23092/286205/11021/9649/2151/2048/9353/1795/10928/9826/9828/23179/51195/55816/57514/57569/83452/85360/199731/11135/57698/51495/157285/8844/19/389/9475/6091/1894/3988/9639/9732/9927/3707/2909/6654/26037/117289/121512/4851/5894/3265/1121/10971/6453/153020/9289/185/391/9411/7042/23075/50848/51209/25/9886/403/2150/2305/5294/5337/5906/7409/9181/9266/10253/10276/10411/10602/11214/11261/22800/23380/23647/28964/29127/53916/54509/65979/139818/202243/27040/10144/116985/29098/9170/6478/10564/9620/9909/398/10603/23108/604/23370/998/6236/8936/9267/9824/10630/81848/9844/117/4803/9363/9750/1012/5900/8452/8567/10211/10252/26053/51306/55704/57568/84078/84986/221472/57679/3479/50861/7249/889/2665/9101/8437/199/29984/54734/335/148170/5881/57449/253980/10125/150/5880/6494/10287/11186/397/8477/4653/4925/6714/1123/8625/2846/2889/5899/6237/23348/27289/27342/51571/54453/58480/64787/285282/8412/10435/79574/25894/84033/23189/408/22898/23094/25959/84952/89846/2203/1124/22808/5338/65078/128272/373509/9138/6242/4650/4924/5898/6009/6655/7410/8315/8997/9265/9423/11069/23268/23616/26030/27352/30851/50937/55333/55619/90167/348/80230/115557/9922/1796/2149/8550/55715/55738/55845/85442/23191/79567/50649/57584/64333/4983/84253/152273/2056/9754/5863/5909/10044/64283/8727/51196/8216/9912/28988/80243/55160/2255/4804/25780/57572/153090/255426/201176/4914/25791/81704/2859/6014/10750/57381/84636/266747/286530/345/9901/10161/5662/399/10251/153478/57139/9290/58504/89941/8859/23550/257106/8831/393/23096/55200/23263/23221/613/7984/83478/9002/9077/1794/395/1600/80728/23526/79658/253959/2245/8153",451
"GO:0000075","GO:0000075","cell cycle checkpoint signaling","190/14183","192/18870",2.38501466168119e-21,1.53212762488165e-18,8.26754474136505e-19,"1112/4193/65123/595/1026/1027/4436/324/7157/9212/1017/5591/116224/641/1386/1843/4085/7175/9675/10769/27183/29980/55143/55159/57551/81620/90381/1763/79621/51360/51322/26270/163859/3014/1432/1869/900/891/8883/9344/29086/83990/835/9575/3619/5514/8451/9184/11073/79968/7158/9183/84861/91603/10116/7272/5781/57405/29935/8555/472/332/983/1111/6118/7756/8870/63967/80279/51343/84072/56155/51347/51499/9577/84142/5810/79184/988/7919/26058/57646/64859/9587/8720/51776/5371/1063/51514/5347/4683/8738/9319/58493/65975/147841/151636/261726/440275/8379/79858/79035/144715/83903/672/4582/990/10403/11130/51143/83540/5884/3364/10111/55055/57805/80254/580/5932/9735/23376/25896/11200/25988/2765/54465/6154/57082/27339/5629/8563/51512/991/4998/9656/25906/26272/8318/5888/348654/701/7508/54908/54962/675/55743/3550/79791/83666/545/9984/60561/83695/51451/699/146956/84446/84444/2177/8914/1263/4303/9894/54888/55795/80185/55755/7517/51720/1407/51065/56984/92421/11277/4361/29997/57662/5883/6419/56658/84101/118471/55367/80198/51149/10459/25949/197342/84936/84126",190
"GO:1903829","GO:1903829","positive regulation of protein localization","437/14183","476/18870",2.40409167563416e-21,1.53212762488165e-18,8.26754474136505e-19,"6659/4193/56262/57214/22841/27230/7099/8660/8754/29899/5743/7430/324/10413/3716/5962/142/382/1128/1981/2035/2181/2182/2316/2770/3320/4035/4130/4137/4478/5208/5562/5563/5579/5599/6526/6809/7037/7175/7323/7443/7474/7531/8554/10075/10527/10541/10802/10857/22873/22902/23636/26354/51100/51496/54741/55166/57506/58489/83667/399687/6934/288/10155/10307/10694/9860/23236/51112/4836/80184/94103/222546/54471/57707/57602/1432/3091/8314/6622/785/3799/7376/8851/10574/25937/25999/54434/55004/56681/64328/6844/6950/10055/652/5580/9847/9868/3843/2064/5581/999/493/2033/3688/5478/5494/5573/6711/9585/9695/10972/11315/23607/25921/55638/79752/84687/5213/3985/5108/55691/2040/6608/975/4946/5481/7855/23682/55754/6653/2767/4771/89781/2066/25924/55294/952/983/1131/1739/1969/2534/2810/2850/2932/3305/3326/3553/3675/3708/3783/4248/5290/5663/5780/5901/8878/9531/11235/22948/23171/29775/55696/56947/80279/81603/23208/27032/10580/94121/5532/8841/2151/1855/2048/3745/5583/5950/27237/23086/63928/4825/2852/9747/23184/207/10576/5587/5295/7251/9475/18/1894/3552/4088/4641/5357/6794/7107/9451/9495/9520/51068/51366/65267/153241/5175/51128/10059/51574/3265/908/1736/10497/57142/29801/391/1956/7042/55204/208/5468/5347/1201/1387/2037/2150/4947/5007/5106/5170/6717/7015/7124/7424/10411/11261/55135/55737/56257/118424/151636/2737/10445/81926/29098/11143/572/3059/10575/7130/22885/2931/57555/65018/84455/84662/22994/10399/84876/5027/101/79899/79971/340146/114/10178/4628/55823/59353/7447/636/945/2147/2266/3670/3689/5122/10979/23435/51104/54552/55704/64083/3479/51686/6616/7545/7476/9141/2042/2746/54209/9662/342667/164153/8692/114131/8447/23255/85459/10807/2622/9619/1080/2621/5880/26154/27063/54972/80149/5590/23400/2641/6769/51768/123264/8934/23379/51124/7097/283/3728/6714/338442/55835/3717/654/5174/5584/5621/7332/10425/51201/57787/58480/83666/6514/11190/5566/6721/55107/163882/9971/26229/10134/3630/3958/5296/7040/10391/1020/1025/1263/1459/2010/4739/4926/5593/10347/10542/11069/25874/54795/55929/59286/90550/245812/4869/51548/8536/9270/27429/9777/25930/51160/54543/54984/8882/79567/65985/27113/9854/5715/6833/65992/65220/7273/7297/51614/11079/7043/2695/7203/8736/322/919/2864/4804/6469/9501/11156/114899/43/23410/79608/7305/8111/3002/2867/10369/9746/51024/81285/246329/125170/388581/89780/2244/9776/169026/1950/10551/161291/2243/5116/79778/11132/8938/55072/2696/7984/2822/57628/285966/7429",437
