"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","359/7043","391/8842",1.55403721976151e-11,5.29926691938676e-09,2.437384692047e-09,"4697/5685/6392/4893/355/317/8660/836/5743/10105/324/7494/102/468/488/801/808/1128/1147/1351/1457/2915/3416/3643/3709/3800/4035/4137/4710/4731/5594/5599/5683/5717/7474/7483/7976/8325/8408/9167/9821/10382/11047/29982/54539/84790/29796/7388/7381/2535/1454/5690/5714/23236/55062/4535/4512/4508/2904/5691/506/840/6622/8313/805/1349/1452/1499/2597/2903/3798/3799/3831/5610/5693/5701/8851/8883/10383/23516/51107/83464/203068/126328/5689/673/489/4538/4536/4540/4514/8471/522/5293/5605/1435/7846/3845/4790/823/1649/4040/5534/8324/27173/25825/4539/283106/518/5530/2475/3569/5291/5481/5707/6391/7855/25800/514/4718/9377/4519/351/10000/824/1131/1139/1965/2776/2932/3553/3708/4843/5290/5663/5706/7475/8321/8323/11211/22943/23385/23401/50507/57181/64116/347733/776/7280/8503/5532/4695/1855/80326/1346/5705/4537/498/3667/207/4023/4891/4717/5295/5601/6868/3552/5289/9451/374291/5719/23130/5894/3265/4711/7477/54205/57142/4719/842/23621/84617/369/5970/208/5604/841/1857/5695/5713/5718/6390/7124/7479/9861/22926/201266/64837/291/2081/4700/7416/572/4217/5609/1327/515/1856/4311/4694/4712/5704/22863/91860/5602/5682/10023/10213/5332/10376/55334/26100/3710/5687/6389/7476/7277/778/1337/4541/60673/509/539/10476/55102/4720/8678/1350/7384/7480/4724/10313/89953/347688/517/51079/4698/5708/7417/4705/7922/9706/29985/79861/7481/513/3551/5692/55967/55851/4713/3630/10381/5296/8772/1020/1459/3028/4041/4704/4707/5331/5595/7478/27089/90550/637/348/5664/7419/292/4725/5686/1460/1347/4709/5684/1345/4701/4706/7386/4702/7186/4723/4729/1340/4696/5688/7979/516/4728/8322/7278/1329/8312/775/5715/4714/81029/5709/51806/55626/7482/322/7471/293/4708/4716/7484/27121/29986/56901/163688/7132/283375/4715/10297/27035/2902/55630/54361/8326/170712/84701/89780/27123/91252/9776/125965/5533/4513/4509/5694/5702/6263/5700/113457/7385/30849/5535/1133/4722/4726/1339/5710/51807/2905/1537/2906",359
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","436/7043","483/8842",9.18945504278503e-11,1.56680208479485e-08,7.20646737565774e-09,"4697/5685/6392/596/4893/355/317/836/6310/5743/10105/324/29110/7494/468/488/801/808/817/1128/1351/1457/2521/2915/3064/3709/3800/4137/4294/4710/4731/5579/5594/5599/5683/5717/5879/6712/7474/7483/7976/8325/8408/9167/9821/10280/10382/11047/11273/29982/51465/54539/84790/29796/7311/7388/7381/2535/1454/5690/5714/7327/23236/815/55062/55255/4535/4512/4508/2904/4747/5691/506/1432/840/6622/8313/805/1349/1452/1499/2903/3798/3799/3831/5606/5693/5701/5868/7314/7415/8851/10383/83544/84516/203068/126328/5689/673/489/4538/4536/4540/4514/522/5605/1435/7846/3845/4790/823/1649/4040/5534/7326/8324/11315/127602/7317/4539/283106/518/5530/2475/3569/5481/5707/6391/7855/514/4718/9377/4519/2891/351/824/1131/1139/1767/1965/2776/2932/3553/3708/4741/4843/5663/5706/5861/6647/7222/7475/8321/8323/8701/8878/9896/11211/22943/23401/25978/50507/80208/116442/203228/347733/776/7280/342371/5532/4695/9217/10010/1855/10540/80326/1346/5705/4537/498/4717/5601/3552/5289/7316/9451/9927/79139/374291/5719/23130/55669/10121/5894/3265/3309/4711/5335/7477/54205/4719/627/842/84617/369/5970/581/5604/598/841/1857/5578/5695/5713/5718/6390/7124/7479/9861/22926/118424/64837/291/3092/2081/4700/7416/9246/572/4217/84134/65018/5609/1327/515/1856/847/4694/4712/5704/22863/120892/91860/5602/5603/5682/6311/10023/10213/55860/578/2882/5332/10376/11258/23435/57679/26100/2878/3710/5687/6389/7476/7277/778/1337/4541/60673/509/539/10476/55102/4720/8678/55567/1350/7384/7480/4724/10126/10671/51164/89953/493869/7133/55081/347688/517/51079/1742/4218/4698/4744/5708/7417/10133/4705/2877/5621/7332/9706/79861/1639/2880/7345/7481/513/6804/7802/10131/81631/2892/5173/5692/55967/4713/10381/8772/5600/818/1020/1459/3028/4041/4704/4707/5331/5595/7478/10120/10452/27089/84557/90550/140775/637/2876/5664/4287/6233/7419/292/4725/5686/1460/1347/4709/5684/1345/4701/4706/9973/7386/27429/4702/7186/4723/4729/6300/1340/4696/5688/7979/516/5413/4728/8322/7278/1329/8312/53349/775/5715/4714/201625/5608/81029/5709/774/6262/51806/816/55626/2861/7482/7471/293/2911/4708/4716/7484/27121/56901/163688/6261/7132/9001/1769/4715/10297/27035/2902/54361/8632/8326/170712/84701/25981/89780/27123/9776/125965/5533/4513/4509/5694/5702/6263/1770/5700/113457/9627/7385/30849/5535/1133/4722/4726/1339/5710/51807/2905/56171/1537/2906/146754",436
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","152/7043","158/8842",1.23715566467757e-09,1.09077551315134e-07,5.0169949516762e-08,"1871/4172/4193/7465/8243/1021/5925/1875/595/1026/1027/4609/1019/894/7157/9212/890/1017/5591/996/1874/3066/4085/4173/4175/4176/4999/5111/5516/5519/5525/5527/5934/6502/7531/7532/8454/9134/9700/25847/81620/90381/9133/5515/151648/1869/4087/891/4089/5001/10735/23047/25836/902/1029/5933/898/546/1022/2033/9184/7027/9978/7272/896/9126/64682/8555/7534/1870/472/983/1031/1032/1111/2810/2932/8900/51343/5528/4616/23063/4088/5518/9587/7529/10971/7042/25/994/5347/5885/1387/7533/8556/9088/9319/10274/51434/8379/5529/6500/23383/114799/113130/990/1647/10403/26271/23244/4174/7029/8317/10926/51433/11200/85417/57082/4171/29882/993/991/4998/25906/55869/8318/8697/701/995/23594/9232/1028/1030/5000/23595/29945/545/699/27085/7040/119504/157570/51529/8881/10744/7043/5526/10912/80174/3065/10459/10393",152
"hsa04714","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","220/7043","235/8842",1.27950206821272e-09,1.09077551315134e-07,5.0169949516762e-08,"115/4697/6392/4893/2260/60/71/1351/1386/2181/2182/4710/4731/5562/5563/5565/5571/6197/6199/6598/6599/6602/7248/8289/9167/23305/51780/54539/55471/64764/29796/7388/7381/9658/57492/84987/4535/4512/4508/65260/506/1432/86/1349/1376/2778/5606/23028/55818/126328/137682/4538/4536/4540/4514/522/3845/112/6595/6597/6603/10818/11343/51287/90993/4539/518/2475/6391/514/2885/4718/9377/4519/1375/2180/4879/5567/6196/10891/27330/29078/126129/4695/26291/25915/1346/4537/498/4717/9586/374291/6654/3265/4711/4719/107/5468/5564/6390/6601/84335/152831/6195/64223/4700/1353/4217/1327/515/1385/4694/4712/114/5603/148327/6198/7249/6389/1355/51412/1337/6604/4541/509/539/10476/6605/4720/1350/7384/1352/1374/4724/116228/388753/2641/517/51079/4698/4705/10488/51703/10063/3991/513/113/51241/5566/51103/90639/55967/4713/57521/5600/109/4704/4707/5593/6009/6655/27089/55744/57104/91942/788/493753/79133/28958/1268/4725/51548/1347/4709/1345/4701/4706/7386/4702/4723/4729/6300/1340/4696/284184/516/9551/10632/521/4728/51422/1329/4714/84699/656/4708/4716/6194/8110/56901/63976/4715/170712/196883/84701/108/125965/7350/4513/4509/123096/7385/5592/111/4722/4726/1339/285521/353500/1537",220
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","232/7043","249/8842",1.70320780285347e-09,1.16158772154606e-07,5.3426939500035e-08,"23291/387/4193/55054/4735/8356/115004/596/7099/7094/1399/7157/2308/29110/8945/60/71/81/382/1147/1398/3709/5216/5594/5599/5879/6199/6885/7323/8454/8767/9252/10096/10163/10670/11146/23118/7311/8976/10109/23236/55062/23176/10801/340061/1432/3725/2017/4792/7314/7307/7188/5580/10398/55752/5293/7414/5581/4790/823/826/3688/10094/81873/375/54874/1793/9978/929/2475/5291/5481/6093/6352/8350/8351/960/10000/472/824/1729/2932/3553/3554/3708/5217/5290/7321/7322/7334/7336/8878/10097/64121/4633/1437/8503/3576/989/207/5295/5601/9475/63916/3098/5289/7316/8915/58528/5747/7189/5335/54205/257397/3021/55964/1956/5970/581/208/598/5336/5829/7124/9181/9266/10092/10892/23048/84335/92610/113026/103910/10552/3456/7416/3059/6500/51619/2931/89869/100132074/8968/998/2309/664/718/3099/8936/9267/22863/9844/57180/834/5602/5603/4636/4671/5332/6198/11335/10093/26100/5588/3710/9474/10454/4793/3020/23157/8353/440093/3678/8678/653857/8355/4615/9140/10241/10325/831/10616/6714/837/3606/10318/29108/3551/81631/3101/10095/5296/57521/5600/87/4303/5331/5595/9265/84557/199746/6233/9564/8737/10627/7186/6300/3661/81858/8290/8354/8357/126961/333932/653604/7335/83660/51196/3611/84812/5333/58484/7132/124404/80201/114548/25851/55072/30849/7100/10392/58498",232
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","128/7043","132/8842",4.41586531761768e-09,2.38490159303832e-07,1.09692957975833e-07,"1213/8763/26503/162/1200/1657/2720/2799/4074/5476/8907/23163/26985/79158/135112/2517/3423/9741/10239/6448/9516/5660/23062/51606/55353/6609/20/138050/537/58511/3482/10947/9583/53/164/175/427/950/1176/1515/6272/8546/8905/23431/27074/2581/1519/8218/2717/4891/1075/3988/4126/1520/10717/967/1201/1497/3920/8943/1513/1777/1508/10577/10312/535/1509/3916/4864/5538/245972/285362/11154/22901/2519/256471/8372/768239/3373/8692/7805/4669/2760/8120/1174/4758/1512/4125/23312/130340/1510/84572/1514/23457/6677/410/1203/1212/1522/2990/3073/4668/5641/51172/2548/2629/2588/26088/9179/23659/411/9374/1521/3425/8722/54/1511/9476/8906/533/10053/9114/23335/1211/50617/23545/3074/57192",128
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","161/7043","169/8842",4.89569241972675e-09,2.38490159303832e-07,1.09692957975833e-07,"55054/1613/596/4893/8660/29110/58476/3480/5516/5562/5563/5594/5599/6199/6885/7248/8408/9821/10670/29982/51100/64419/65082/79065/7311/5515/55062/55255/57724/3091/1612/7314/8887/9110/26003/57448/5580/8471/5293/5605/3845/11337/7879/9711/8837/2475/5291/8897/54541/10000/1965/3708/5290/5567/5861/8878/10652/64121/116442/203228/8503/10010/23001/64798/83452/84971/338382/3667/207/5295/5601/5289/6794/7316/9451/58528/23130/7189/5894/3265/8417/208/5604/598/81671/3920/5170/8673/9342/10533/10645/11152/22800/84335/84938/440275/64223/2081/1508/572/55014/5728/664/1509/3916/7405/22863/115201/27072/5602/55823/6198/64422/7249/26100/5588/9474/9842/56270/60673/55102/8678/9140/10241/10325/4077/4218/10133/23710/64601/3476/6237/9706/83734/1514/5566/81631/22808/3630/5296/57521/5595/6009/11345/23192/84557/140775/55578/6233/64689/53349/3146/55626/118471/9776/57617/23339/30849/23604/89849/285973",161
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","336/7043","371/8842",5.72059396419134e-09,2.43840317723656e-07,1.12153750087435e-07,"4697/4928/23225/5685/6392/596/9883/317/9782/836/7157/29110/7494/60/71/468/1351/2521/3181/3800/4710/4731/5216/5683/5717/5879/7175/8021/8408/8480/9167/9631/9821/9972/10280/10382/11047/11273/23636/29978/29979/29982/54539/55706/84790/29796/10482/7388/7381/5690/5714/5903/55062/55255/4535/4512/4508/2904/9818/100101267/4747/5691/506/1432/1349/2903/3798/3799/3831/5606/5693/5701/5868/7415/9688/10383/10762/23279/53371/57122/83544/84516/203068/126328/5689/10189/4538/4536/4540/4514/522/7846/1649/5534/127602/4539/518/5530/2475/5707/6391/79023/514/4718/9377/4519/2891/2066/1767/1965/3084/4741/4843/5217/5706/5861/6647/8701/8878/9896/23064/25978/80208/116442/203228/347733/7280/5532/4695/9217/6506/10010/4927/10540/23165/1346/5705/4537/498/6428/4717/5289/9451/79139/81929/374291/5719/23130/10121/3309/4711/54205/4719/842/84617/581/311/598/310/3178/5695/5713/5718/6390/7124/9861/22926/55916/56893/129401/64837/2081/4700/7416/572/4217/84134/65018/1327/515/847/4686/4694/4712/5704/22863/29107/91181/834/5603/5682/6311/10213/55860/2733/2882/6432/10376/11258/23435/220988/57679/26100/2878/3710/5687/6389/7277/23511/400916/1337/79902/4541/60673/509/539/10476/55102/4720/8678/55567/1350/7384/4724/10126/10671/51164/89953/493869/7133/347688/517/51079/283/4218/4698/4744/5708/10133/4705/2877/9706/79861/348995/1639/2880/513/7802/81631/5692/55967/4713/10381/5600/4704/4707/10120/10452/27089/84557/90550/140775/144983/637/2876/6396/4725/5686/1347/4709/5684/1345/4701/4706/9973/7386/4702/7186/4723/4729/6300/1340/4696/5688/7979/516/4728/7278/1329/55746/5715/4714/201625/5608/5709/55626/4708/4716/56000/56901/10718/7132/9001/1769/4715/2902/8632/170712/84701/25981/145957/9776/125965/5533/4513/4509/5694/5702/1770/5700/113457/7385/30849/5535/10013/9542/4722/4726/1339/5710/51807/2905/56171/1537/2906/146754",336
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","275/7043","300/8842",6.53604198422373e-09,2.47643368513366e-07,1.13902953877115e-07,"6722/5924/4893/7048/355/4609/6789/836/1399/4233/5921/7157/4149/2260/7046/51701/1844/468/1147/1386/1398/1843/1847/1848/1849/2316/2768/3164/3480/3481/3643/4137/4208/4214/4293/4294/4915/5579/5594/5599/5879/6197/6416/6885/8491/9252/9693/10746/23118/57551/80824/1846/3312/84451/1432/3815/3725/3925/785/1845/4775/5062/5606/5922/9344/9448/2005/673/23542/55970/5605/1435/2064/2065/3845/4790/4215/1649/1942/2247/3304/5494/5534/9261/2261/5530/929/5908/59283/2885/3303/7422/26281/2353/2066/10000/374/783/1969/2069/2246/2321/3305/3553/3554/4763/4908/5154/5156/5159/5321/5567/5778/5923/6196/27330/80310/776/4254/10235/285/5532/284/9175/3310/4616/51347/26291/2248/207/5598/1326/5601/1850/2872/3552/3556/4296/7867/6654/51776/7189/5894/3265/781/4216/7039/627/1956/7042/369/5970/5058/208/994/5604/7786/2002/2668/5578/5906/5971/7124/7424/8569/22800/27091/56034/6195/5495/2324/4217/59284/5609/9020/51135/998/782/1647/5801/5979/11221/773/4803/5602/5603/255189/3315/3654/1946/5155/5623/8074/8649/3479/2122/10454/778/8823/84867/5881/1944/10125/4615/4902/5871/5880/409/55799/51295/4791/6237/8817/3551/408/3791/5566/22808/59285/3630/5228/7040/5600/784/1945/2263/3727/5595/6655/6788/8986/9479/23162/2264/8550/7186/6300/775/1852/8912/777/5608/7043/774/2254/1943/2249/2253/2255/4804/5536/10912/25780/27006/93589/8911/9254/4914/7132/9048/2323/10369/283748/27092/3082/1950/10368/5533/2277/9064/123745/2250/5535/7010/1436",275
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","150/7043","157/8842",8.68567916909701e-09,2.96181659666208e-07,1.36228020652153e-07,"23291/1871/3486/4193/1021/4893/7048/5925/1875/595/1026/10114/4609/1019/894/7157/2308/890/7046/8945/1017/677/801/808/1874/3709/5499/5594/5934/7248/9134/28996/54822/132660/9133/1432/1869/4087/805/891/4775/5500/5606/1029/5933/5293/5605/3845/678/23411/898/4790/823/5534/9261/204851/896/5530/1978/2475/3569/5054/5291/5481/83593/1870/10000/472/824/983/1111/3708/5290/5501/8878/8900/776/8503/5532/4616/3576/207/5810/5295/2113/3552/4088/5894/3265/7042/5970/208/5604/2305/4683/22800/291/7416/3133/144715/5728/2309/1647/10758/91860/5603/3364/10111/7249/11200/5928/3710/85417/3105/3107/993/4605/7417/1030/6237/545/91750/22808/3106/5296/7040/5600/5595/6009/90550/286826/7419/292/6300/55957/4361/5883/5608/7043/51806/4773/293/3135/10912/59341/163688/3805/5533/5535/3134",150
