"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","358/7032","391/8842",3.12362010187923e-11,6.16941839922843e-09,3.12327401596994e-09,"4697/5685/6392/4893/355/317/8660/836/5743/10105/324/7494/102/468/488/801/808/1128/1147/1351/1457/2915/3416/3643/3709/3800/4035/4137/4710/4731/5594/5599/5683/5717/7474/7483/7976/8325/8408/9167/9821/10382/11047/29982/54539/84790/29796/7388/7381/2535/1454/5690/5714/23236/55062/4535/4512/4508/2904/5691/506/840/6622/8313/805/1349/1452/1499/2597/2903/3798/3799/3831/5610/5693/5701/8851/8883/10383/23516/51107/83464/203068/126328/5689/673/489/4538/4536/4540/4514/8471/522/5293/5605/5601/351/4790/2776/3708/4023/5331/5534/5535/7385/8312/8323/9451/22926/22943/30849/54205/90550/91252/7419/292/572/4701/7277/7186/1435/7846/3845/823/1649/4040/8324/27173/25825/4539/283106/518/5530/2475/3569/5291/5481/5707/6391/7855/25800/514/4718/9377/4519/10000/824/1131/1139/1965/2932/3553/4843/5290/5663/5706/7475/8321/11211/23385/23401/50507/57181/64116/347733/776/7280/8503/5532/4695/1855/80326/1346/5705/4537/498/3667/207/4891/4717/5295/6868/3552/5289/374291/5719/23130/5894/1857/4513/5713/55102/57142/5694/4509/10476/3265/4711/7477/4719/842/23621/84617/369/5970/208/5604/841/5695/5718/6390/7124/7479/9861/201266/64837/291/2081/4700/7416/4217/5609/1327/515/1856/4311/4694/4712/5704/22863/91860/5602/5682/10023/10213/5332/10376/55334/26100/3710/5687/6389/7476/778/1337/4541/60673/509/539/4720/8678/1350/7384/7480/4724/10313/89953/347688/517/51079/4698/5708/7417/4705/7922/9706/29985/79861/7481/513/3551/5692/55967/55851/4713/3630/10381/5296/8772/1020/1459/3028/4041/4704/4707/5595/7478/27089/637/348/5664/4725/5686/1460/1347/4709/5684/1345/4706/7386/4702/4723/4729/1340/4696/5688/7979/516/775/5715/8322/4714/81029/5709/51806/55626/7471/293/322/4708/4716/7484/27121/29986/56901/163688/7132/283375/4715/10297/27035/2902/55630/54361/1329/8326/170712/84701/89780/27123/9776/7482/125965/5702/4728/6263/5700/113457/7472/1133/4722/4726/1339/5710/51807/2905/1537/7278",358
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","130/7032","132/8842",3.61842721362371e-11,6.16941839922843e-09,3.12327401596994e-09,"1213/8763/26503/162/1200/1657/2720/2799/4074/5476/8907/23163/26985/79158/135112/2517/3423/9741/10239/6448/53/968/1497/527/10717/9516/5660/23062/51606/55353/6609/20/138050/537/58511/3482/10947/9583/164/175/427/950/1176/1515/6272/8546/8905/23431/27074/2581/1519/8218/2717/4891/1075/3988/4126/1520/533/1512/967/1201/3920/8943/1513/1777/1508/10577/10312/535/1509/3916/4864/5538/245972/285362/11154/22901/2519/256471/8372/768239/3373/8692/7805/4669/2760/8120/1174/4758/4125/23312/130340/1510/84572/1514/23457/6677/410/1203/1212/1522/2990/3073/4668/5641/51172/2548/2629/2588/26088/9179/23659/9374/1521/3425/8722/54/1511/9476/8906/10053/9114/23335/1211/411/50617/23545/3074/57192",130
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","153/7032","158/8842",1.46404168853463e-10,1.27158808189217e-08,6.43742693101764e-09,"1871/4172/4193/7465/8243/1021/5925/1875/595/1026/1027/4609/1019/894/7157/9212/890/1017/5591/996/1874/3066/4085/4173/4175/4176/4999/5111/5516/5519/5525/5527/5934/6502/7531/7532/8454/9134/9700/25847/81620/90381/9133/5515/151648/1869/4087/891/4089/5001/10735/23047/25836/902/1029/5933/546/80174/7027/27127/898/1022/2033/9184/9978/7272/896/9126/64682/8555/7534/1870/472/983/1031/1032/1111/2810/2932/8900/51343/5528/4616/23063/4088/5518/9587/7529/5347/10274/23383/57082/10971/7042/25/994/5885/1387/7533/8556/9088/9319/51434/8379/5529/6500/114799/113130/990/1647/10403/26271/23244/4174/7029/8317/10926/51433/11200/85417/4171/29882/993/991/4998/25906/55869/8318/8697/701/995/23594/9232/1028/1030/5000/23595/29945/545/699/27085/7040/119504/157570/51529/8881/10744/7043/10912/5526/3065/10459/10393",153
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","435/7032","483/8842",1.49159892304067e-10,1.27158808189217e-08,6.43742693101764e-09,"4697/5685/6392/596/4893/355/317/836/6310/5743/10105/324/29110/7494/468/488/801/808/817/1128/1351/1457/2521/2915/3064/3709/3800/4137/4294/4710/4731/5579/5594/5599/5683/5717/5879/6712/7474/7483/7976/8325/8408/9167/9821/10280/10382/11047/11273/29982/51465/54539/84790/29796/7311/7388/7381/2535/1454/5690/5714/7327/23236/815/55062/55255/4535/4512/4508/2904/4747/5691/506/1432/840/6622/8313/805/1349/1452/1499/2903/3798/3799/3831/5606/5693/5701/5868/7314/7415/8851/10383/83544/84516/203068/126328/5689/673/489/4538/4536/4540/4514/522/5605/5601/351/4790/774/2776/2882/3708/5331/5534/5535/5861/7385/8312/8323/9451/22926/22943/30849/54205/90550/7419/292/6311/7317/572/4701/7277/7186/1435/7846/3845/823/1649/4040/7326/8324/11315/127602/4539/283106/518/5530/2475/3569/5481/5707/6391/7855/514/4718/9377/4519/2891/824/1131/1139/1767/1965/2932/3553/4741/4843/5663/5706/6647/7222/7475/8321/8701/8878/9896/11211/23401/25978/50507/80208/116442/203228/347733/776/7280/342371/5532/4695/9217/10010/1855/10540/80326/1346/5705/4537/498/4717/3552/5289/7316/9927/79139/374291/5719/23130/55669/10121/5894/1857/4513/5713/10131/51164/55102/2876/4287/55860/5694/4509/81631/56171/10476/3265/3309/4711/5335/7477/4719/627/842/84617/369/5970/581/5604/598/841/5578/5695/5718/6390/7124/7479/9861/118424/64837/291/3092/2081/4700/7416/9246/4217/84134/65018/5609/1327/515/1856/847/4694/4712/5704/22863/120892/91860/5602/5603/5682/10023/10213/578/5332/10376/11258/23435/57679/26100/2878/3710/5687/6389/7476/778/1337/4541/60673/509/539/4720/8678/55567/1350/7384/7480/4724/10126/10671/89953/493869/7133/55081/347688/517/51079/1742/4218/4698/4744/5708/7417/10133/4705/2877/5621/7332/9706/79861/1639/2880/7345/7481/513/6804/7802/2892/5173/5692/55967/4713/10381/8772/5600/818/1020/1459/3028/4041/4704/4707/5595/7478/10120/10452/27089/84557/140775/637/5664/6233/4725/5686/1460/1347/4709/5684/1345/4706/9973/7386/27429/4702/4723/4729/6300/1340/4696/5688/7979/516/5413/53349/775/5715/8322/4714/201625/5608/81029/5709/6262/51806/816/55626/2861/7471/293/2911/4708/4716/7484/27121/56901/163688/6261/7132/9001/1769/4715/10297/27035/2902/54361/8632/1329/8326/170712/84701/25981/89780/27123/9776/7482/125965/5702/4728/6263/1770/5700/113457/9627/7472/1133/4722/4726/1339/5710/51807/2905/1537/7278/146754",435
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","304/7032","333/8842",2.4904738834554e-09,1.69850318851659e-07,8.59868877656182e-08,"1284/4193/1021/7057/4893/5925/3915/8992/595/1026/1027/355/1282/1277/1278/1019/4853/836/5743/894/324/7157/3716/2308/29110/890/1017/528/1147/2335/3066/3685/3996/5516/5519/5525/5527/5594/5934/6199/6773/7248/7474/7483/7976/8325/9134/9296/9368/9519/9550/64764/148022/388585/7283/6934/56288/2535/5515/1869/8313/1452/1499/2778/3516/3673/5523/5610/84612/10207/5933/5293/5605/84699/6908/5520/4790/3105/3694/8312/8323/131873/4599/527/7143/572/3280/3845/898/2033/3688/3693/3911/7337/8324/51606/51382/90993/8516/896/3691/537/1978/2475/5291/7855/2885/3918/7422/4855/3690/182/5649/10000/472/523/1108/1739/1741/2932/3659/3672/3675/3676/3696/4242/5159/5290/5567/5663/7475/8321/8638/8900/9223/11211/23352/23462/28227/64398/83439/90423/1311/8503/7060/1855/5528/55534/80326/127124/207/5295/3655/5518/9586/10379/7058/1293/6654/5894/526/1857/6009/9794/7249/533/5728/4851/3678/3680/6198/6655/5747/3265/7477/57801/3914/1956/5970/581/208/5604/529/841/1291/1387/3371/3455/5315/5829/6696/7015/7098/7124/7479/534/3440/155066/5521/3456/4799/3133/5529/5986/10312/1856/998/1385/6772/535/245972/1288/27175/148327/578/84441/284217/7476/55844/3107/7480/1286/1287/7187/8515/9636/55012/5734/5590/3913/22801/84552/1299/4600/5584/10488/545/7481/3551/3909/3910/5566/3106/10319/10134/4854/5296/8772/1740/3454/3912/3993/5595/7478/256076/7450/3679/23513/3661/7448/3955/8322/5522/7297/81029/245973/1297/7471/1292/3135/7059/7484/23493/55502/7148/3674/7132/84667/3445/10297/11317/54361/8326/3442/3695/89780/1950/5526/92359/7482/9114/1285/6932/5700/3065/50617/23545/7472/26508/9641/3134/3451/525/3908",304
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","192/7032","204/8842",3.21277094585969e-09,1.78370663540067e-07,9.03003204833186e-08,"387/4193/7057/4893/27250/595/1026/355/4609/3236/1277/1278/7099/836/4233/7430/7157/2260/5962/10451/60/71/817/858/2316/2335/3339/3480/3481/3685/3709/4478/4659/5499/5579/5594/5879/6199/7074/7474/7483/7976/8325/29102/288/2535/5777/867/815/1432/1655/2099/3091/4087/10855/6774/1499/2017/3673/5500/673/7078/5293/5605/6383/1975/3708/5501/6382/6714/8323/3593/2064/2065/3845/8826/2549/2247/3688/3693/8324/10818/6608/2475/5291/5781/6093/7855/3316/2885/6385/7422/960/7023/3690/4318/2066/5328/10000/287/5290/5567/6548/7475/8321/11211/23365/8503/80326/207/857/5295/9475/4660/6654/5894/22800/5727/3678/6198/6655/1634/5747/3265/4313/5335/7477/1956/7042/369/5058/208/5604/967/1839/2002/5170/5336/5578/5829/7124/7409/7479/54776/3059/998/7291/5603/5329/3479/60495/3710/7476/7480/7097/6237/7481/1514/3791/5566/22808/117581/9138/5296/7040/5600/818/2817/5595/7410/7478/84309/4060/6300/7448/8322/51196/79923/81029/816/7471/6194/6469/7484/54361/8326/89780/3082/3549/7482/7472/286",192
"hsa04714","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","219/7032","235/8842",3.66156787325652e-09,1.78370663540067e-07,9.03003204833186e-08,"115/4697/6392/4893/2260/60/71/1351/1386/2181/2182/4710/4731/5562/5563/5565/5571/6197/6199/6598/6599/6602/7248/8289/9167/23305/51780/54539/55471/64764/29796/7388/7381/9658/57492/84987/4535/4512/4508/65260/506/1432/86/1349/1376/2778/5606/23028/55818/126328/137682/4538/4536/4540/4514/522/84699/7385/57104/4701/3845/112/6595/6597/6603/10818/11343/51287/90993/4539/518/2475/6391/514/2885/4718/9377/4519/1375/2180/4879/5567/6196/10891/27330/29078/126129/4695/26291/25915/1346/4537/498/4717/9586/374291/6654/109/4513/6009/7249/4509/6198/6655/10476/3265/4711/4719/107/5468/5564/6390/6601/84335/152831/6195/64223/4700/1353/4217/1327/515/1385/4694/4712/114/5603/148327/6389/1355/51412/1337/6604/4541/509/539/6605/4720/1350/7384/1352/1374/4724/116228/388753/2641/517/51079/4698/4705/10488/51703/10063/3991/513/113/51241/5566/51103/90639/55967/4713/57521/5600/4704/4707/5593/27089/55744/91942/788/493753/79133/28958/1268/4725/51548/1347/4709/1345/4706/7386/4702/4723/4729/6300/1340/4696/284184/516/9551/10632/521/4714/656/4708/4716/6194/8110/56901/63976/51422/4715/1329/170712/196883/84701/108/125965/4728/123096/5592/111/4722/4726/1339/285521/353500/1537",219
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","231/7032","249/8842",4.53587330019886e-09,1.85515931153312e-07,9.39176191052423e-08,"23291/387/4193/55054/4735/8356/115004/596/7099/7094/1399/7157/2308/29110/8945/60/71/81/382/1147/1398/3709/5216/5594/5599/5879/6199/6885/7323/8454/8767/9252/10096/10163/10670/11146/23118/7311/8976/10109/23236/55062/23176/10801/340061/1432/3725/2017/4792/7314/7307/7188/5580/10398/55752/5293/7414/5601/4790/3554/3708/4303/5331/6714/9181/10241/30849/54205/375/8737/7186/4636/5581/823/826/3688/10094/81873/54874/1793/9978/929/2475/5291/5481/6093/6352/8350/8351/960/10000/472/824/1729/2932/3553/5217/5290/7321/7322/7334/7336/8878/10097/64121/4633/1437/8503/3576/989/207/5295/9475/63916/3098/5289/7316/8915/58528/8936/10892/3021/3678/831/6198/11335/81631/5747/7189/5335/257397/55964/1956/5970/581/208/598/5336/5829/7124/9266/10092/23048/84335/92610/113026/103910/10552/3456/7416/3059/6500/51619/2931/89869/100132074/8968/998/2309/664/718/3099/9267/22863/9844/57180/834/5602/5603/4671/5332/10093/26100/5588/3710/9474/10454/4793/3020/23157/8353/440093/8678/653857/8355/4615/9140/10325/10616/837/3606/10318/29108/3551/3101/10095/5296/57521/5600/87/5595/9265/84557/199746/6233/9564/10627/6300/3661/81858/8290/8354/8357/126961/333932/653604/7335/83660/51196/3611/84812/5333/58484/7132/124404/80201/25851/55072/7100/10392/58498",231
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","275/7032","300/8842",4.89631489847452e-09,1.85515931153312e-07,9.39176191052423e-08,"6722/5924/4893/7048/355/4609/6789/836/1399/4233/5921/7157/4149/2260/7046/51701/1844/468/1147/1386/1398/1843/1847/1848/1849/2316/2768/3164/3480/3481/3643/4137/4208/4214/4293/4294/4915/5579/5594/5599/5879/6197/6416/6885/8491/9252/9693/10746/23118/57551/80824/1846/3312/84451/1432/3815/3725/3925/785/1845/4775/5062/5606/5922/9344/9448/2005/673/23542/55970/5605/5601/4790/1946/774/1945/3554/3556/4909/5534/5535/9261/1436/5495/2323/7186/255189/9020/1435/2064/2065/3845/4215/1649/1942/2247/3304/5494/2261/5530/929/5908/59283/2885/3303/7422/26281/2353/2066/10000/374/783/1969/2069/2246/2321/3305/3553/4763/4908/5154/5156/5159/5321/5567/5778/5923/6196/27330/80310/776/4254/10235/285/5532/284/9175/3310/4616/51347/26291/2248/207/5598/1326/1850/2872/3552/4296/7867/6654/51776/5894/10125/22800/6655/56034/7189/3265/781/4216/7039/627/1956/7042/369/5970/5058/208/994/5604/7786/2002/2668/5578/5906/5971/7124/7424/8569/27091/6195/2324/4217/59284/5609/51135/998/782/1647/5801/5979/11221/773/4803/5602/5603/3315/3654/5155/5623/8074/8649/3479/2122/10454/778/8823/84867/5881/1944/4615/4902/5871/5880/409/55799/51295/4791/6237/8817/3551/408/3791/5566/22808/59285/3630/5228/7040/5600/784/2263/3727/5595/6788/8986/9479/23162/2264/8550/6300/775/1852/8912/777/5608/7043/2254/1943/2249/2253/2255/4804/5536/10912/25780/27006/93589/8911/9254/4914/7132/9048/10369/283748/27092/3082/1950/10368/9064/123745/2250/7010/2252",275
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","150/7032","157/8842",7.14128330053318e-09,2.43517760548181e-07,1.23281101188152e-07,"23291/1871/3486/4193/1021/4893/7048/5925/1875/595/1026/10114/4609/1019/894/7157/2308/890/7046/8945/1017/677/801/808/1874/3709/5499/5594/5934/7248/9134/28996/54822/132660/9133/1432/1869/4087/805/891/4775/5500/5606/1029/5933/5293/5605/4790/3105/3708/5501/5534/5535/9261/90550/204851/7419/4776/292/3845/678/23411/898/823/896/5530/1978/2475/3569/5054/5291/5481/83593/1870/10000/472/824/983/1111/5290/8878/8900/776/8503/5532/4616/3576/207/5810/5295/2113/3552/4088/5894/6009/22800/7249/5928/5728/3265/7042/5970/208/5604/2305/4683/291/7416/3133/144715/2309/1647/10758/91860/5603/3364/10111/11200/3710/85417/3107/993/4605/7417/1030/6237/545/91750/22808/3106/5296/7040/5600/5595/286826/6300/55957/4361/5883/5608/7043/51806/4773/293/3135/10912/59341/163688/3805/3134",150
