"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04010","Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","282/7160","300/8842",4.20328460350076e-11,1.43332004979376e-08,7.03497107322759e-09,"6722/5924/3845/7046/3480/6197/2005/627/2064/7422/4609/7042/3725/998/836/5894/2066/2261/4215/374/1647/1848/2255/3553/3556/4214/5156/5321/5578/6416/10746/56034/57551/4254/3312/8913/4893/7048/355/6789/1399/4233/5921/7157/4149/2260/51701/1844/468/1147/1386/1398/1843/1847/1849/2316/2768/3164/3481/3643/4137/4208/4293/4294/4915/5579/5594/5599/5879/6885/8491/9252/9693/23118/80824/1846/84451/1432/3815/3925/785/1845/4775/5062/5606/5922/9344/9448/673/23542/55970/5605/5601/4790/1946/774/1945/3554/4909/5534/5535/9261/1436/5495/2323/7186/255189/9020/1435/2065/1649/1942/2247/3304/5494/5530/929/5908/59283/2885/3303/26281/2353/10000/783/1969/2069/2246/2321/3305/4763/4908/5154/5159/5567/5778/5923/6196/27330/80310/776/10235/285/5532/284/9175/3310/4616/51347/26291/2248/5598/1326/1850/2872/3552/4296/7867/6654/51776/3654/5979/6788/51135/7189/3265/781/4216/7039/1956/369/5970/5058/208/994/5604/207/7786/2002/2668/5906/5971/7124/7424/8569/22800/27091/6195/2324/4217/59284/5609/782/5801/11221/773/4803/5602/5603/3315/5155/5623/8074/8649/3479/2122/10454/778/8823/84867/5881/1944/10125/4615/4902/5871/5880/409/55799/51295/4791/6237/8817/3551/408/3791/5566/22808/59285/3630/5228/7040/5600/784/2263/3727/5595/6655/8986/9479/23162/2264/8550/6300/775/1852/8912/777/5608/7043/2254/1943/2249/2253/4804/5536/10912/25780/27006/93589/8911/9254/4914/7132/9048/10369/283748/9064/9965/27092/3082/1950/10368/2252/7010/7423/115727/123745/8605/5533/2250/4772",282
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","361/7160","391/8842",9.97848773385319e-11,1.70133215862197e-08,8.3504186825403e-09,"4697/5685/6392/3845/1452/1499/57142/3667/836/5894/10105/808/1965/3553/3569/3799/4041/4711/5610/8322/9167/9821/83464/201266/5687/515/4893/355/317/8660/5743/324/7494/102/468/488/801/1128/1147/1351/1457/2915/3416/3643/3709/3800/4035/4137/4710/4731/5594/5599/5683/5717/7474/7483/7976/8325/8408/10382/11047/29982/54539/84790/29796/7388/7381/2535/1454/5690/5714/23236/55062/4535/4512/4508/2904/5691/506/840/6622/8313/805/1349/2597/2903/3798/3831/5693/5701/8851/8883/10383/23516/51107/203068/126328/5689/673/489/4538/4536/4540/4514/8471/522/5293/5605/5601/351/4790/2776/3708/4023/5331/5534/5535/7385/8312/8323/9451/22926/22943/30849/54205/90550/91252/7419/292/572/4701/7277/7186/1435/7846/823/1649/4040/8324/27173/25825/4539/283106/518/5530/2475/5291/5481/5707/6391/7855/25800/514/4718/9377/4519/10000/824/1131/1139/2932/4843/5290/5663/5706/7475/8321/11211/23385/23401/50507/57181/64116/347733/776/7280/8503/5532/4695/1855/80326/1346/5705/4537/498/5295/6868/3552/5289/374291/5719/23130/4513/9861/55334/1537/3265/4891/7477/4719/842/23621/84617/369/5970/208/5604/207/841/1857/5695/5713/5718/6390/7124/7479/64837/291/2081/4700/7416/4217/5609/1327/1856/4311/4694/4712/5704/22863/91860/5602/5682/10023/10213/5332/10376/26100/3710/6389/7476/778/1337/4541/60673/509/539/10476/55102/4720/8678/1350/7384/7480/4724/10313/89953/347688/517/51079/4698/5708/7417/4705/7922/9706/29985/79861/7481/513/3551/5692/55967/55851/4713/3630/10381/5296/8772/1020/1459/3028/4704/4707/5595/7478/27089/637/348/5664/4725/4717/5686/1460/1347/4709/5684/1345/4706/7386/4702/4723/4729/1340/4696/5688/7979/516/775/5715/4714/81029/5709/7482/7471/293/322/4708/4716/7484/27121/29986/51806/56901/163688/7132/283375/4715/10297/27035/2902/55630/54361/1329/8326/170712/84701/89780/27123/9776/125965/113457/122011/5702/5710/4509/5694/4728/6263/5700/55626/2906/5533/7472/1133/4722/4726/1339/51807/2905/7278",361
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","130/7160","132/8842",3.34992392141587e-10,3.8077468573427e-08,1.86890492457938e-08,"1213/26503/1497/5641/26985/2581/9516/1075/3423/5660/23312/51172/135112/2629/1520/8763/162/1200/1657/2720/2799/4074/5476/8907/23163/79158/2517/9741/10239/6448/53/968/527/10717/23062/51606/55353/6609/20/138050/537/58511/3482/10947/9583/164/175/427/950/1176/1515/6272/8546/8905/23431/27074/1519/8218/2717/3988/4126/535/4891/967/1201/3920/8943/1513/1777/1508/10577/10312/1509/3916/4864/5538/245972/285362/11154/22901/2519/256471/8372/768239/3373/8692/7805/4669/2760/8120/1174/4758/1512/4125/130340/1510/84572/1514/23457/6677/410/1203/1212/1522/2990/3073/4668/2548/2588/26088/9179/23659/9374/1521/3425/8722/54/1511/9476/8906/533/10053/1211/23335/9114/411/3074/50617/23545/57192",130
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","438/7160","483/8842",1.2087415248972e-09,1.03045214997487e-07,5.05762901206988e-08,"4697/5685/6392/3845/1452/1499/23435/627/596/578/836/5894/10105/808/1742/1965/3553/3569/3799/4041/4711/5578/8322/8701/9167/9821/11258/79139/84516/4287/5687/515/4893/355/317/6310/5743/324/29110/7494/468/488/801/817/1128/1351/1457/2521/2915/3064/3709/3800/4137/4294/4710/4731/5579/5594/5599/5683/5717/5879/6712/7474/7483/7976/8325/8408/10280/10382/11047/11273/29982/51465/54539/84790/29796/7311/7388/7381/2535/1454/5690/5714/7327/23236/815/55062/55255/4535/4512/4508/2904/4747/5691/506/1432/840/6622/8313/805/1349/2903/3798/3831/5606/5693/5701/5868/7314/7415/8851/10383/83544/203068/126328/5689/673/489/4538/4536/4540/4514/522/5605/5601/351/4790/774/2776/2882/3708/5331/5534/5535/5861/7385/8312/8323/9451/22926/22943/30849/54205/90550/7419/292/6311/7317/572/4701/7277/7186/1435/7846/823/1649/4040/7326/8324/11315/127602/4539/283106/518/5530/2475/5481/5707/6391/7855/514/4718/9377/4519/2891/824/1131/1139/1767/2932/4741/4843/5663/5706/6647/7222/7475/8321/8878/9896/11211/23401/25978/50507/80208/116442/203228/347733/776/7280/342371/5532/4695/9217/10010/1855/10540/80326/1346/5705/4537/498/3552/5289/7316/9927/374291/5719/23130/55669/2861/4218/4513/5621/9861/10120/10452/81631/1537/10121/3265/3309/5335/7477/4719/842/84617/369/5970/581/5604/598/841/1857/5695/5713/5718/6390/7124/7479/118424/64837/291/3092/2081/4700/7416/9246/4217/84134/65018/5609/1327/1856/847/4694/4712/5704/22863/120892/91860/5602/5603/5682/10023/10213/55860/5332/10376/57679/26100/2878/3710/6389/7476/778/1337/4541/60673/509/539/10476/55102/4720/8678/55567/1350/7384/7480/4724/10126/10671/51164/89953/493869/7133/55081/347688/517/51079/4698/4744/5708/7417/10133/4705/2877/7332/9706/79861/1639/2880/7345/7481/513/6804/7802/10131/2892/5173/5692/55967/4713/10381/8772/5600/818/1020/1459/3028/4704/4707/5595/7478/27089/84557/140775/637/2876/5664/6233/4725/4717/5686/1460/1347/4709/5684/1345/4706/9973/7386/27429/4702/4723/4729/6300/1340/4696/5688/7979/516/5413/53349/775/5715/4714/201625/5608/81029/5709/7482/7471/293/2911/4708/4716/7484/27121/51806/56901/163688/6261/7132/9001/1769/816/4715/10297/27035/2902/54361/8632/1329/8326/170712/84701/25981/89780/27123/9776/125965/113457/122011/5702/5710/4509/5694/6262/4728/6263/1770/5700/55626/9627/2906/5533/7472/1133/4722/4726/1339/51807/2905/56171/7278/146754",438
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","153/7160","158/8842",1.67234520874569e-09,1.14053943236456e-07,5.59795554085398e-08,"1871/4172/4193/7465/8556/7529/8243/1026/4609/7042/25/894/7534/890/5591/546/1030/1647/7532/25836/57082/1021/5925/1875/595/1027/1019/7157/9212/1017/996/1874/3066/4085/4173/4175/4176/4999/5111/5516/5519/5525/5527/5934/6502/7531/8454/9134/9700/25847/81620/90381/9133/5515/151648/1869/4087/891/4089/5001/10735/23047/902/1029/5933/80174/7027/27127/898/1022/2033/9184/9978/7272/896/9126/64682/8555/1870/472/983/1031/1032/1111/2810/2932/8900/51343/5528/4616/23063/4088/5518/9587/993/5885/701/991/4998/8317/9319/10393/25906/26271/157570/10971/994/5347/1387/7533/9088/10274/51434/8379/5529/6500/23383/114799/113130/990/10403/23244/4174/7029/10926/51433/11200/85417/4171/29882/55869/8318/8697/995/23594/9232/1028/5000/23595/29945/545/699/27085/7040/119504/51529/8881/10744/7043/10912/5526/10459/3065",153
"hsa04218","Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","152/7160","157/8842",2.00890985905219e-09,1.14173043656133e-07,5.60380118577715e-08,"23291/1871/3486/4193/5728/3845/7046/5500/678/1026/4609/7042/5894/894/2309/890/808/1030/1647/3569/4361/1021/4893/7048/5925/1875/595/10114/1019/7157/2308/8945/1017/677/801/1874/3709/5499/5594/5934/7248/9134/28996/54822/132660/9133/1432/1869/4087/805/891/4775/5606/1029/5933/5293/5605/4790/3105/3708/5501/5534/5535/9261/90550/204851/7419/4776/292/23411/898/823/896/5530/1978/2475/5054/5291/5481/83593/1870/10000/472/824/983/1111/5290/8878/8900/776/8503/5532/4616/3576/5295/2113/3552/4088/993/4683/4773/5810/286826/144715/3265/5970/208/5604/207/2305/22800/291/7416/3133/10758/91860/5603/3364/10111/7249/11200/5928/3710/85417/3107/4605/7417/6237/545/91750/22808/3106/5296/7040/5600/5595/6009/6300/55957/5883/5608/7043/293/3135/10912/51806/59341/163688/3805/3134/5533/4772",152
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","176/7160","184/8842",3.33829973873046e-09,1.62622887272441e-07,7.98179937531041e-08,"387/3845/2534/2770/659/1073/998/25/5894/1948/2043/2050/3688/3897/5361/5578/10512/55740/57522/84612/3985/8482/56288/4893/2773/4233/5921/64101/817/2045/5594/5879/5998/7474/7976/8829/54910/56896/85464/9860/815/57144/3984/4756/4775/5062/54434/10398/5293/6259/1946/1945/5362/5534/5535/6714/8440/23380/4776/1949/2047/9353/2042/7224/57556/4636/1072/1942/6608/5530/5291/5781/6093/1808/1969/2044/2932/5063/5290/5364/6092/7222/9037/23365/59277/8503/5532/2048/10371/57689/223117/5295/7852/9475/6091/10509/56963/4773/7220/10507/5747/2771/3265/3983/5335/6387/5058/5170/5336/10298/219699/103910/2051/22885/2046/658/137970/5727/9723/1947/91653/54437/64218/29984/5881/1944/5880/55558/5590/84448/1630/84552/6237/27289/54961/4690/57715/5296/655/818/1020/5595/9423/10501/23654/91584/6405/10627/90249/5365/80031/3611/81029/1943/2242/4917/6469/7869/25791/816/6586/54361/84628/2041/10505/2049/7223/22854/9901/285220/10500/56920/8633/5533/64221/10154",176
"hsa04714","Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","220/7160","235/8842",1.90081553095981e-08,8.10222620071619e-07,3.97670617661329e-07,"115/4697/6392/3845/5562/6197/8289/57104/2181/2182/4711/4879/5563/6194/6602/9167/10488/116228/8193/126129/515/4893/2260/60/71/1351/1386/4710/4731/5565/5571/6199/6598/6599/7248/23305/51780/54539/55471/64764/29796/7388/7381/9658/57492/84987/4535/4512/4508/65260/506/1432/86/1349/1376/2778/5606/23028/55818/126328/137682/4538/4536/4540/4514/522/84699/7385/4701/112/6595/6597/6603/10818/11343/51287/90993/4539/518/2475/6391/514/2885/4718/9377/4519/1375/2180/5567/6196/10891/27330/29078/4695/26291/25915/1346/4537/498/9586/374291/6654/5468/113/4513/6198/1537/51241/10632/3265/4719/107/5564/6390/6601/84335/152831/6195/64223/4700/1353/4217/1327/1385/4694/4712/114/5603/148327/7249/6389/1355/51412/1337/6604/4541/509/539/10476/6605/4720/1350/7384/1352/1374/4724/388753/2641/517/51079/4698/4705/51703/10063/3991/513/5566/51103/90639/55967/4713/57521/5600/109/4704/4707/5593/6009/6655/27089/55744/91942/788/493753/79133/28958/1268/4725/4717/51548/1347/4709/1345/4706/7386/4702/4723/4729/6300/1340/4696/284184/516/9551/521/4714/656/4708/4716/8110/56901/63976/51422/4715/1329/170712/196883/84701/108/125965/285521/4509/4728/123096/5592/111/4722/4726/1339/353500",220
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","161/7160","169/8842",4.2587781782882e-08,1.56051158482652e-06,7.6592480934532e-07,"55054/1613/5728/3845/3091/3480/5562/596/3667/5894/54541/1965/5563/9110/9821/10325/10533/57448/64121/4893/8660/29110/58476/5516/5594/5599/6199/6885/7248/8408/10670/29982/51100/64419/65082/79065/7311/5515/55062/55255/57724/1612/7314/8887/26003/5580/8471/5293/5605/5601/3708/5861/9451/10241/30849/84938/572/23001/11337/7879/9711/8837/2475/5291/8897/10000/5290/5567/8878/10652/116442/203228/8503/10010/64798/83452/84971/338382/5295/5289/6794/7316/58528/23130/4218/6198/7405/8417/81631/83734/115201/7189/3265/208/5604/207/598/81671/3920/5170/8673/9342/10645/11152/22800/84335/440275/64223/2081/1508/55014/664/1509/3916/22863/27072/5602/55823/64422/7249/26100/5588/9474/9842/56270/60673/55102/8678/9140/4077/10133/23710/64601/3476/6237/9706/1514/5566/22808/3630/5296/57521/5595/6009/11345/23192/84557/140775/55578/6233/64689/53349/3146/118471/9776/57617/55626/23339/23604/89849/285973",161
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","192/7160","204/8842",4.57628030740914e-08,1.56051158482652e-06,7.6592480934532e-07,"387/4193/3845/960/3091/1499/3480/5500/2064/7057/1655/1026/7422/4609/7042/8826/998/836/5894/2066/287/3688/5578/6194/6382/8322/51196/4893/27250/595/355/3236/1277/1278/7099/4233/7430/7157/2260/5962/10451/60/71/817/858/2316/2335/3339/3481/3685/3709/4478/4659/5499/5579/5594/5879/6199/7074/7474/7483/7976/8325/29102/288/2535/5777/867/815/1432/2099/4087/10855/6774/2017/3673/673/7078/5293/5605/6383/1975/3708/5501/6714/8323/3593/2065/2549/2247/3693/8324/10818/6608/2475/5291/5781/6093/7855/3316/2885/6385/7023/3690/4318/5328/10000/5290/5567/6548/7475/8321/11211/23365/8503/80326/857/5295/9475/4660/6654/1839/6198/5747/3265/4313/5335/7477/1956/369/5058/208/5604/207/967/2002/5170/5336/5829/7124/7409/7479/22800/54776/3059/5727/7291/5603/5329/3479/60495/1634/3710/7476/3678/7480/7097/6237/7481/1514/3791/5566/22808/117581/9138/5296/7040/5600/818/2817/5595/6655/7410/7478/84309/4060/6300/7448/79923/81029/7482/7471/6469/7484/816/54361/8326/89780/3082/3549/7472/286",192
