"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05131","Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","229/6685","249/8842",1.09139874751183e-11,2.09842782143913e-09,1.0428982227248e-09,"23291/387/4193/55054/4735/8356/115004/1432/3725/60/382/2017/4792/5599/7314/7323/7307/7188/8976/5580/10398/55752/596/7094/5581/2308/4790/823/826/3688/5216/6885/7414/10094/10163/10670/23118/81873/375/54874/1793/9978/929/2475/5291/5481/5879/6093/6352/8350/8351/8454/960/10000/472/81/824/1398/1729/2932/3553/3554/3708/3709/5217/5290/5594/7321/7322/7334/7336/8767/8878/10097/64121/4633/1437/8503/3576/989/207/5295/5601/9475/63916/3098/5289/7316/8915/58528/5747/7189/5335/9252/54205/257397/23236/3021/55964/1956/5970/581/208/598/71/5293/5336/5829/7124/9181/9266/10092/10892/23048/84335/92610/113026/7311/103910/10552/3456/7416/3059/10109/6500/51619/55062/2931/89869/100132074/23176/8968/998/7157/2309/664/718/3099/8936/9267/22863/9844/57180/834/5602/5603/4636/8945/4671/5332/6198/6199/10096/11335/10093/26100/5588/3710/9474/10454/4793/3020/23157/8353/440093/1399/3678/8678/653857/8355/4615/9140/10241/10325/11146/340061/831/10616/6714/7099/29110/837/1147/3606/10318/29108/10801/3551/81631/3101/10095/5296/57521/5600/87/4303/5331/5595/9265/84557/199746/6233/9564/8737/10627/7186/6300/3661/81858/8290/8354/8357/126961/333932/653604/7335/83660/51196/3611/84812/80201/114548/7132/25851/55072/30849/7100/10392/58498",229
"hsa05022","Human Diseases","Neurodegenerative disease","hsa05022","Pathways of neurodegeneration - multiple diseases","423/6685","483/8842",1.24331079312832e-11,2.09842782143913e-09,1.0428982227248e-09,"4697/5685/6392/1432/840/10105/6622/8313/488/805/1349/1452/1457/1499/2903/3064/3798/3799/3831/4731/5599/5606/5693/5701/5868/7314/7415/8408/8851/10280/10383/11273/83544/84516/203068/126328/5689/673/489/4538/4536/4540/4508/4514/522/1435/596/7846/3845/5743/4790/817/823/1649/4040/5534/7326/8324/11315/127602/5690/7317/4539/283106/518/506/836/5530/2475/3569/5481/5707/5879/6391/7855/8325/514/4718/9377/4519/4893/2891/355/6310/351/824/1131/1139/1767/1965/2776/2932/3553/3708/3709/4741/4843/5594/5663/5706/5717/5861/6647/7222/7475/8321/8323/8701/8878/9821/9896/11211/22943/23401/25978/50507/80208/84790/116442/203228/347733/776/7280/342371/5532/4695/9217/10010/2535/1855/10540/80326/1346/5705/4537/4747/498/4717/5601/3552/5289/7316/7976/9451/9927/51465/79139/374291/1454/5719/23130/55669/10121/5894/3265/7494/468/3309/3800/4711/5335/7477/54205/4719/23236/627/842/84617/369/5970/324/581/5604/598/801/808/841/1857/2521/5578/5605/5695/5713/5718/6390/6712/7124/7474/7479/9861/10382/22926/118424/7311/64837/291/3092/2081/4700/7416/9246/572/4217/55062/84134/65018/5609/1327/2904/515/1856/847/4694/4712/5704/22863/120892/91860/5602/5603/5682/5714/6311/10023/10213/55860/578/2882/5332/10376/11047/11258/23435/29982/57679/26100/2878/3710/5687/7327/6389/7476/7277/778/1337/4541/60673/5691/509/539/10476/317/55102/4720/5683/8678/55567/1350/7384/7480/4724/10126/10671/51164/89953/493869/29796/7133/55081/347688/517/51079/1742/4218/4698/4744/5708/7417/10133/4705/29110/2877/5621/7332/9706/79861/1639/2880/7345/7481/513/1351/4137/4294/6804/7802/9167/10131/81631/2892/5173/5692/55967/4713/10381/8772/5600/818/1020/1459/3028/4041/4704/4707/4710/5331/5595/7478/10120/10452/27089/54539/84557/90550/140775/637/2876/5664/7388/4287/6233/7419/292/4725/5686/7381/1460/1347/4709/5684/1345/4701/4706/9973/7386/27429/4702/7186/4723/4729/6300/1340/4696/5688/7979/516/5413/8312/53349/775/5579/5715/8322/4714/201625/5608/81029/5709/774/6262/51806/816/55626/2861/89780/7483/27123/9776/7482/125965/1128/7132/5533/55255/4513/1329/4509/5694/5702/4728/6263/1770/5700/7471/27121/113457/9627/27035/2906/30849/5535/293/2911/6261/1133/8632/4722/4726/1339/84701/4708/25981/4512/5710/51807/4535/10297/2905/56171/2915/1537/7278/146754",423
"hsa05010","Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","347/6685","391/8842",1.90931271082227e-11,2.09842782143913e-09,1.0428982227248e-09,"4697/5685/6392/840/10105/6622/8313/488/805/1349/1452/1457/1499/2597/2903/3798/3799/3831/4731/5599/5610/5693/5701/8408/8851/8883/10383/23516/51107/83464/203068/126328/5689/673/489/4538/4536/4540/4508/4514/8471/522/1435/7846/3845/5743/4790/102/823/1649/4040/5534/8324/27173/5690/25825/4539/283106/518/506/836/5530/2475/3569/5291/5481/5707/6391/7855/8325/25800/514/4718/9377/4519/4893/355/351/10000/824/1131/1139/1965/2776/2932/3416/3553/3708/3709/4843/5290/5594/5663/5706/5717/7475/8321/8323/9821/11211/22943/23385/23401/50507/57181/64116/84790/347733/776/7280/8503/5532/4695/2535/1855/80326/1346/5705/4537/498/3667/207/4023/4891/4717/5295/5601/6868/3552/5289/7976/9451/374291/1454/5719/23130/8660/5894/3265/7494/468/3800/4711/7477/54205/57142/4719/23236/842/23621/84617/369/5970/324/208/5604/801/808/841/1857/3643/5293/5605/5695/5713/5718/6390/7124/7474/7479/9861/10382/22926/201266/64837/291/2081/4700/7416/572/4217/55062/5609/1327/2904/515/1856/4311/4694/4712/5704/22863/91860/5602/5682/5714/10023/10213/5332/10376/11047/29982/55334/26100/3710/5687/6389/7476/7277/778/1337/4541/60673/5691/509/539/10476/317/55102/4720/5683/8678/1350/7384/7480/4724/10313/89953/29796/347688/517/51079/4698/5708/7417/4705/1147/7922/9706/29985/79861/7481/513/1351/3551/4137/9167/5692/55967/55851/4713/3630/10381/5296/8772/1020/1459/3028/4035/4041/4704/4707/4710/5331/5595/7478/27089/54539/90550/637/348/5664/7388/7419/292/4725/5686/7381/1460/1347/4709/5684/1345/4701/4706/7386/4702/7186/4723/4729/1340/4696/5688/7979/516/8312/775/5715/8322/4714/81029/5709/51806/55626/89780/322/7483/27123/91252/9776/7482/125965/1128/7132/5533/4513/1329/4509/5694/5702/4728/6263/55630/5700/7471/27121/113457/27035/2906/30849/5535/293/1133/4722/4726/1339/84701/4708/4512/5710/51807/4535/10297/2905/2915/1537/7278",347
"hsa04140","Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","160/6685","169/8842",2.46149891077904e-11,2.09842782143913e-09,1.0428982227248e-09,"55054/1613/3091/1612/5599/7314/8408/8887/9110/26003/57448/5580/8471/596/3845/58476/3480/5562/6885/10670/11337/5515/7879/9711/8837/2475/5291/8897/4893/54541/10000/1965/3708/5290/5567/5594/5861/8878/9821/10652/64121/116442/203228/8503/10010/23001/64798/83452/84971/338382/3667/207/65082/5295/5601/5289/6794/7316/9451/58528/23130/8660/7189/5894/3265/7248/8417/57724/208/5604/598/81671/3920/5170/5293/5605/8673/9342/10533/10645/11152/22800/51100/84335/84938/440275/7311/64223/2081/1508/572/55014/55062/5728/664/1509/3916/5563/7405/22863/115201/27072/5602/55823/6198/6199/29982/64422/7249/26100/5588/9474/9842/56270/60673/55102/8678/79065/9140/10241/10325/4077/4218/10133/23710/64601/3476/29110/6237/9706/83734/1514/5566/81631/22808/3630/5296/57521/5516/5595/6009/11345/23192/64419/84557/140775/55578/6233/64689/53349/3146/55626/9776/57617/55255/23339/30849/23604/89849/285973",160
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","150/6685","158/8842",5.4523029516823e-11,3.71847061304733e-09,1.84804373730705e-09,"1871/4172/4193/7465/1869/5925/595/1026/1027/1019/894/890/4087/5591/891/4089/4999/5001/5519/10735/23047/25836/902/898/546/1022/2033/4175/4176/5934/7531/7532/9184/5515/7027/9978/1021/7272/896/996/4173/9126/8454/64682/8555/5933/7534/1870/472/983/1031/1032/1111/2810/2932/3066/4085/5525/6502/8900/9134/51343/5528/4616/23063/4088/5518/9587/7529/10971/7042/25/994/5347/1017/5885/1387/7533/8556/9088/9319/10274/51434/8379/5529/6500/23383/114799/1029/4609/7157/113130/990/1647/10403/26271/1875/23244/4174/7029/8317/10926/51433/90381/11200/85417/151648/57082/1874/4171/5111/5527/29882/993/9212/991/4998/25906/55869/81620/8318/8697/9700/701/995/23594/9133/9232/1028/1030/5000/23595/29945/545/8243/699/27085/7040/5516/25847/119504/157570/51529/8881/10744/7043/80174/5526/3065/10459",150
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","229/6685","251/8842",9.49489548794382e-11,5.39626560231474e-09,2.68189153255957e-09,"387/51176/1432/3725/840/60/329/382/1499/2597/3798/3799/3831/3836/3839/4074/4792/5599/5606/5868/5878/10383/10787/26084/79026/84516/203068/9367/8976/10398/596/7846/8677/79443/388/4790/302/1778/2316/5216/5286/6885/8795/10094/23118/81873/375/6934/7879/140735/836/929/3569/5291/5879/51429/55207/83657/1785/7184/2353/10000/330/3326/3553/3840/5063/5217/5287/5290/5594/8767/10097/10640/10810/83439/84790/347733/4633/10006/7280/197259/6281/10540/3576/338382/207/65082/5601/9475/63916/1783/5289/5869/112574/7295/10121/7189/5894/3265/1434/3800/54205/60412/257397/6993/391/84617/5970/51209/5058/581/208/5604/64746/71/841/5293/5294/5605/7124/9266/10092/10382/23207/25828/79659/127829/64837/103910/10552/10109/6500/5609/23643/51135/4609/998/4646/9267/51143/27072/9844/57180/834/5602/5603/55860/55823/4636/578/3654/4671/6416/9648/10096/10376/11258/51626/55770/10093/26999/7277/10454/6990/11035/9842/653857/5420/4615/5585/10671/51164/89953/347688/3320/7097/64601/83658/7099/837/1147/3606/6237/8797/29108/79861/113146/1639/1781/26263/6188/3551/10381/10095/8772/5600/5595/5898/9265/10120/8655/8737/10333/10627/29109/55845/7186/6300/79792/23191/23265/8743/5608/5788/399/57381/57617/114548/7132/6932/113457/23339/1780/7100/10392/58498/51807/7278",229
"hsa05014","Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","327/6685","371/8842",5.34825563378467e-10,2.60536453017225e-08,1.29484083765313e-08,"4697/4928/23225/5685/6392/1432/60/1349/2903/3181/3798/3799/3831/4731/5606/5693/5701/5868/7415/8021/8408/9688/10280/10383/10762/11273/23279/53371/57122/83544/84516/203068/126328/5689/10189/4538/4536/4540/4508/4514/522/596/7846/1649/5216/5534/8480/10482/127602/5690/4539/9818/518/506/836/5530/2475/5707/5879/6391/79023/514/29979/4718/9377/4519/9883/2891/9782/2066/1767/1965/3084/4741/4843/5217/5706/5717/5861/6647/8701/8878/9821/9896/23064/23636/25978/55706/80208/84790/116442/203228/347733/7280/5532/4695/9217/6506/10010/4927/5903/10540/23165/1346/5705/4537/4747/498/6428/4717/5289/9451/79139/81929/374291/5719/23130/10121/7494/468/3309/3800/4711/54205/4719/842/84617/581/311/598/71/310/2521/3178/5695/5713/5718/6390/7124/9631/9861/9972/10382/22926/55916/56893/129401/64837/2081/4700/7416/572/4217/55062/84134/65018/1327/2904/515/7157/847/4686/4694/4712/5704/22863/29107/91181/834/5603/5682/5714/6311/10213/55860/2733/2882/6432/7175/10376/11047/11258/23435/29982/220988/57679/26100/2878/3710/5687/6389/7277/23511/400916/1337/79902/4541/60673/5691/509/539/10476/317/55102/4720/5683/8678/55567/1350/7384/4724/10126/10671/51164/89953/493869/29796/7133/347688/517/51079/283/4218/4698/4744/5708/10133/4705/29110/2877/9706/79861/348995/1639/2880/513/1351/7802/9167/81631/5692/55967/4713/100101267/10381/5600/4704/4707/4710/10120/10452/27089/29978/54539/84557/90550/140775/144983/637/2876/7388/6396/4725/5686/7381/1347/4709/5684/1345/4701/4706/9973/7386/4702/7186/4723/4729/6300/1340/4696/5688/7979/516/55746/5715/4714/201625/5608/5709/55626/145957/9776/125965/7132/5533/55255/4513/1329/4509/5694/5702/4728/1770/5700/113457/2906/30849/5535/10013/56000/9542/8632/4722/4726/1339/84701/4708/25981/4512/5710/51807/4535/2905/56171/1537/7278/146754",327
"hsa04144","Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","228/6685","252/8842",8.47393251637313e-10,3.61201373510405e-08,1.79513570412641e-08,"387/1213/4193/30846/3949/4087/382/3798/3799/4734/5868/5878/6642/9135/9815/10254/26052/84313/84612/116984/8976/3312/51699/378/7046/163/3304/3480/7037/8411/10094/81873/137492/375/9230/7879/11059/23362/57132/23325/2261/8394/112936/8723/55680/3303/7048/55048/1785/3482/80223/161/3305/5156/6456/6643/9525/9798/9829/10097/10193/10617/23396/25978/50807/51652/57403/116987/138429/11021/51510/273/8218/3310/5867/51534/84440/23111/22841/857/7251/7852/858/4088/5869/8729/8766/9765/26056/79720/2060/9372/867/147179/7189/1173/3265/3800/5371/377/1956/9559/829/5337/6455/8724/8853/9266/10092/10938/27183/28964/29934/30844/30845/51100/55737/64750/84364/3560/2870/116985/10552/3133/10109/10564/55040/2352/64145/7456/998/9267/23327/57180/56904/868/157/10015/832/10096/10565/11031/22905/27243/58533/30011/10093/60682/5119/9101/9727/119016/9897/3105/653857/3107/5590/409/2869/51019/26286/84552/830/4218/6714/83737/5584/27131/51028/93343/64744/57154/381/8395/23527/408/5338/3106/29082/10095/26119/11311/9146/160/274/1175/1212/2263/2348/8027/9265/10890/79643/91782/128866/118813/1759/80230/414189/51324/9922/2264/6457/11267/51160/55738/116983/92421/29924/100526767/156/58513/116986/89853/1234/56288/23624/116988/5662/3577/64411/1211/23550/23096/3579/3561/3135/3134",228
"hsa04141","Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","158/6685","170/8842",2.32175297506553e-09,8.7968640499705e-08,4.37195589456784e-08,"3337/9532/10299/1603/4780/5599/6400/7323/7415/10483/10484/10525/10808/29927/55432/56681/5034/3312/30001/596/823/1649/3304/3998/5887/6185/7326/7841/9695/10277/10427/258010/9978/51009/201595/10960/22824/80331/8454/29979/3303/7184/824/1965/3305/3326/5611/6745/6747/7095/7321/7322/9632/10130/10802/10905/10961/51035/80267/84061/27248/267/3310/51360/58505/64374/56605/51726/5601/9451/10970/23471/51465/79139/51128/8720/7494/468/3309/11231/821/9709/581/1650/2923/7991/10273/22926/23640/55666/56893/84447/118424/2081/6746/4217/6500/746/23190/25956/51619/26270/5609/23193/55829/9871/3301/54788/56886/9373/5602/23645/7353/578/22872/23480/54431/55176/55757/55968/165324/285126/6048/80700/573/1410/7327/5886/7993/5589/1388/3703/64215/4121/9601/10952/3320/811/10134/1409/6238/7466/10113/11253/29978/10956/3300/4287/91445/6396/7186/133022/6748/10294/6184/57134/55768/81567",158
"hsa04142","Cellular Processes","Transport and catabolism","hsa04142","Lysosome","125/6685","132/8842",3.93834067986993e-09,1.34297417183565e-07,6.67445104693747e-08,"1213/8763/1657/3423/4074/9741/10239/6448/9516/5660/23062/51606/55353/79158/6609/20/138050/537/58511/3482/10947/9583/53/164/175/427/950/1176/1515/6272/8546/8905/23431/26985/27074/2581/1519/8218/2717/4891/1075/1200/2799/3988/4126/1520/10717/26503/967/1201/1497/3920/8907/8943/23163/1513/1777/1508/10577/10312/535/1509/3916/4864/5538/245972/285362/11154/22901/2519/256471/162/8372/135112/768239/3373/8692/7805/4669/2760/8120/1174/4758/1512/4125/23312/130340/1510/84572/1514/23457/6677/410/1203/1212/1522/2720/2990/3073/4668/5641/51172/2517/2548/2629/2588/26088/9179/23659/5476/9374/533/10053/1521/8906/411/9114/1211/54/50617/23545/8722/3074/57192/23335",125
