"","database","mature_mirna_acc","mature_mirna_id","target_symbol","target_entrez","target_ensembl","experiment","support_type","pubmed_id","type"
"1","tarbase","","hsa-miR-147b","FBXW11","23291","ENSG00000072803","Degradome sequencing","positive","","validated"
"2","tarbase","","hsa-miR-147b","E2F3","1871","ENSG00000112242","Degradome sequencing","negative","","validated"
"3","tarbase","","hsa-miR-147b","LASP1","3927","ENSG00000002834","Degradome sequencing","positive","","validated"
"4","tarbase","","hsa-miR-147b","AXL","558","ENSG00000167601","Degradome sequencing","positive","","validated"
"5","tarbase","","hsa-miR-147b","SOX4","6659","ENSG00000124766","Degradome sequencing","positive","","validated"
"6","tarbase","","hsa-miR-147b","COL4A2","1284","ENSG00000134871","Degradome sequencing","positive","","validated"
"7","tarbase","","hsa-miR-147b","FBN1","2200","ENSG00000166147","Degradome sequencing","positive","","validated"
"8","tarbase","","hsa-miR-147b","SNAI2","6591","ENSG00000019549","Degradome sequencing","positive","","validated"
"9","tarbase","","hsa-miR-147b","AHR","196","ENSG00000106546","Degradome sequencing//Degradome sequencing//Degradome sequencing","positive","","validated"
"10","tarbase","","hsa-miR-147b","ANKRD52","283373","ENSG00000139645","Degradome sequencing","positive","","validated"
"11","tarbase","","hsa-miR-147b","IGFBP3","3486","ENSG00000146674","Degradome sequencing","negative","","validated"
"12","tarbase","","hsa-miR-147b","RHOA","387","ENSG00000067560","Degradome sequencing","positive","","validated"
"13","tarbase","","hsa-miR-147b","CEBPB","1051","ENSG00000172216","Degradome sequencing","positive","","validated"
"14","tarbase","","hsa-miR-147b","TNRC6A","27327","ENSG00000090905","Degradome sequencing","positive","","validated"
"15","tarbase","","hsa-miR-147b","TNPO1","3842","ENSG00000083312","Degradome sequencing//Degradome sequencing","positive","","validated"
"16","tarbase","","hsa-miR-147b","ADCY9","115","ENSG00000162104","Degradome sequencing","positive","","validated"
"17","tarbase","","hsa-miR-147b","APLP2","334","ENSG00000084234","Degradome sequencing","positive","","validated"
"18","tarbase","","hsa-miR-147b","FOXN3","1112","ENSG00000053254","Degradome sequencing","negative","","validated"
"19","tarbase","","hsa-miR-147b","CLTC","1213","ENSG00000141367","Degradome sequencing","positive","","validated"
